Output file: output/wt_090530.root input file:/disk03/lowe10/sk7/sle/lomugd.090530.root
 Id of this manager : 10
InitReadRoot: total = 22207643
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12077
0/22207643
Sec_Event 492877 N50: 41
T: -0.515632 Q: -0.0028536
T: -0.604545 Q: -0.00169707
T: -0.689385 Q: inf
T: -0.767574 Q: -0.00117767
T: -0.836736 Q: inf
T: -0.89477 Q: -0.000715655
T: -0.939912 Q: inf
T: -0.986469 Q: inf
T: -0.986469 Q: inf
T: -0.970792 Q: -0.000478503
T: -0.939912 Q: -0.000365676
T: -0.89477 Q: -0.00060907
T: -0.836736 Q: inf
T: -0.767574 Q: -0.00128129
T: -0.689385 Q: inf
T: -0.604545 Q: -0.00154693
T: -0.515632 Q: inf
T: -0.425348 Q: -0.00399564
T: -0.336435 Q: -0.00731959
T: -0.251595 Q: inf
T: -0.173406 Q: -0.0148217
T: -0.104244 Q: inf
T: -0.04621 Q: -0.027113
T: -0.00106766 Q: -0.0466021
T: 0.0298115 Q: -0.0517315
T: 0.0454893 Q: inf
T: 0.0454893 Q: inf
T: 0.0298115 Q: -0.0495751
T: -0.00106766 Q: -0.0472172
T: -0.04621 Q: -0.0534854
T: -0.104244 Q: -0.0541135
T: -0.173406 Q: -0.0476965
T: -0.251595 Q: -0.0356215
T: -0.336435 Q: -0.0141047
T: -0.425348 Q: inf
Sec_Event 639016 N50: 25
T: -0.469799 Q: -0.0272233
T: -0.564371 Q: -0.0227323
T: -0.65461 Q: -0.0247828
T: -0.737775 Q: inf
T: -0.811339 Q: -0.0513304
T: -0.873066 Q: -0.0796816
T: -0.921081 Q: inf
T: -0.953926 Q: -0.0528982
T: -0.970601 Q: inf
T: -0.970601 Q: -0.0472939
T: -0.953926 Q: -0.0540152
T: -0.921081 Q: -0.0611067
T: -0.873066 Q: inf
T: -0.811339 Q: inf
T: -0.737775 Q: inf
T: -0.65461 Q: inf
T: -0.564371 Q: -0.0322892
T: -0.469799 Q: -0.0260127
T: -0.373769 Q: -0.0335912
T: -0.279197 Q: -0.0263482
T: -0.188958 Q: -0.0242443
T: -0.105793 Q: -0.0210876
T: -0.032229 Q: -0.0175085
T: 0.0294982 Q: -0.021102
T: 0.0775135 Q: -0.0209154
T: 0.110358 Q: -0.021221
T: 0.127033 Q: inf
T: 0.127033 Q: inf
T: 0.110358 Q: -0.0206037
T: 0.0775135 Q: -0.0152335
T: 0.0294982 Q: -0.0174232
T: -0.032229 Q: -0.0180753
T: -0.105793 Q: inf
T: -0.188958 Q: inf
T: -0.279197 Q: -0.0205449
T: -0.373769 Q: -0.0211158
Sec_Event 741023 N50: 31
T: -0.124897 Q: -0.0165756
T: -0.239297 Q: -0.0183992
T: -0.348456 Q: -0.0241627
T: -0.449058 Q: inf
T: -0.538045 Q: inf
T: -0.612714 Q: -0.0341145
T: -0.670797 Q: -0.041455
T: -0.710527 Q: -0.0545271
T: -0.730699 Q: -0.0608977
T: -0.730699 Q: -0.0534221
T: -0.710527 Q: -0.0528316
T: -0.670797 Q: -0.0372836
T: -0.612714 Q: -0.0307937
T: -0.538045 Q: -0.0303091
T: -0.449058 Q: -0.0278338
T: -0.348456 Q: inf
T: -0.239297 Q: -0.0212674
T: -0.124897 Q: -0.0211062
T: -0.00873198 Q: -0.0245839
T: 0.105668 Q: inf
T: 0.214827 Q: -0.016742
T: 0.315429 Q: -0.0156312
T: 0.404416 Q: -0.0111826
T: 0.479086 Q: -0.00845594
T: 0.537168 Q: -0.00584027
T: 0.576899 Q: -0.00552937
T: 0.59707 Q: inf
T: 0.59707 Q: -0.00720392
T: 0.576899 Q: inf
T: 0.537168 Q: -0.006885
T: 0.479086 Q: -0.00899783
T: 0.404416 Q: -0.0129934
T: 0.315429 Q: -0.0152627
T: 0.214827 Q: inf
T: 0.105668 Q: inf
T: -0.00873198 Q: inf
Sec_Event 741023 N50: 31
T: 0.00385714 Q: -0.0171998
T: -0.110608 Q: inf
T: -0.219829 Q: inf
T: -0.320488 Q: -0.0264378
T: -0.409526 Q: -0.0297166
T: -0.484238 Q: -0.0402566
T: -0.542353 Q: -0.0441386
T: -0.582107 Q: inf
T: -0.60229 Q: -0.0485087
