Output file: output/wt_090552.root input file:/disk03/lowe10/sk7/sle/lomugd.090552.root
 Id of this manager : 10
InitReadRoot: total = 11245437
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 0
0/11245437
Sec_Event 846340 N50: 39
T: -0.0717131 Q: -0.031315
T: -0.18656 Q: inf
T: -0.296145 Q: -0.0366508
T: -0.397139 Q: inf
T: -0.486474 Q: -0.0367661
T: -0.561435 Q: -0.0300698
T: -0.619744 Q: -0.0228488
T: -0.659629 Q: -0.0190539
T: -0.67988 Q: inf
T: -0.67988 Q: -0.0138215
T: -0.659629 Q: -0.0132244
T: -0.619744 Q: -0.0065995
T: -0.561435 Q: -0.00625207
T: -0.486474 Q: -0.00309946
T: -0.397139 Q: -0.00236054
T: -0.296145 Q: inf
T: -0.18656 Q: inf
T: 0.0449051 Q: -0.00155134
T: 0.159752 Q: inf
T: 0.269337 Q: -0.00218374
T: 0.370331 Q: inf
T: 0.459666 Q: -0.00301006
T: 0.534627 Q: inf
T: 0.592936 Q: -0.00733729
T: 0.632821 Q: -0.0122515
T: 0.653072 Q: inf
T: 0.653072 Q: inf
T: 0.632821 Q: -0.0457768
T: 0.592936 Q: -0.0488799
T: 0.534627 Q: inf
T: 0.459666 Q: -0.0529405
T: 0.370331 Q: -0.0470443
T: 0.269337 Q: -0.0430577
T: 0.159752 Q: -0.0363236
T: 0.0449051 Q: -0.0427115
Sec_Event 1108971 N50: 35
T: -0.15884 Q: -0.044812
T: -0.272638 Q: -0.0503531
T: -0.381223 Q: -0.0506632
T: -0.481295 Q: inf
T: -0.569815 Q: -0.0745514
T: -0.644091 Q: inf
T: -0.701868 Q: inf
T: -0.741389 Q: inf
T: -0.761455 Q: -0.0730755
T: -0.761455 Q: -0.0614839
T: -0.741389 Q: -0.0648729
T: -0.701868 Q: inf
T: -0.644091 Q: inf
T: -0.569815 Q: inf
T: -0.481295 Q: -0.0335927
T: -0.381223 Q: inf
T: -0.272638 Q: -0.014579
T: -0.15884 Q: -0.0164762
T: -0.0432867 Q: -0.0159677
T: 0.0705113 Q: inf
T: 0.179096 Q: inf
T: 0.279168 Q: -0.0148902
T: 0.367688 Q: -0.0227958
T: 0.441964 Q: -0.0142521
T: 0.499741 Q: -0.0115631
T: 0.539262 Q: inf
T: 0.559328 Q: -0.00915995
T: 0.559328 Q: -0.0102765
T: 0.539262 Q: inf
T: 0.499741 Q: -0.0116521
T: 0.441964 Q: -0.0164679
T: 0.367688 Q: -0.0352916
T: 0.279168 Q: inf
T: 0.179096 Q: -0.0471768
T: 0.0705113 Q: -0.0567532
T: -0.0432867 Q: -0.0490557
Sec_Event 1853390 N50: 35
T: -0.656392 Q: -0.0427591
T: -0.718578 Q: inf
T: -0.777915 Q: -0.064339
T: -0.8326 Q: -0.0666826
T: -0.880972 Q: -0.0665571
T: -0.921561 Q: -0.0550883
T: -0.953134 Q: -0.0487582
T: -0.97473 Q: inf
T: -0.985695 Q: -0.0511619
T: -0.985695 Q: -0.0437296
T: -0.97473 Q: -0.0448113
T: -0.953134 Q: -0.0496006
T: -0.921561 Q: -0.0486264
T: -0.880972 Q: inf
T: -0.8326 Q: -0.0280227
T: -0.777915 Q: -0.0204174
T: -0.718578 Q: -0.018341
T: -0.656392 Q: -0.0129399
T: -0.593247 Q: -0.0149593
T: -0.531061 Q: -0.00999706
T: -0.471724 Q: inf
T: -0.417039 Q: -0.0107831
T: -0.368667 Q: inf
T: -0.328078 Q: -0.00960026
T: -0.296505 Q: -0.0104218
T: -0.274909 Q: -0.0112923
T: -0.263943 Q: -0.0136324
T: -0.263943 Q: -0.0168144
T: -0.274909 Q: -0.015544
T: -0.296505 Q: -0.0181527
T: -0.328078 Q: -0.0171801
T: -0.368667 Q: -0.0301057
T: -0.417039 Q: -0.020391
T: -0.471724 Q: inf
T: -0.531061 Q: -0.0288133
T: -0.593247 Q: -0.0379915
Sec_Event 2470100 N50: 28
T: -0.439727 Q: -0.0199682
T: -0.537495 Q: -0.0149114
T: -0.630784 Q: -0.0181231
T: -0.71676 Q: -0.0296378
T: -0.79281 Q: inf
T: -0.856623 Q: -0.0578664
T: -0.906261 Q: -0.0444315
T: -0.940216 Q: -0.0385398
