Output file: output/wt_090051.root input file:/disk03/lowe10/sk7/sle/lomugd.090051.root
 Id of this manager : 10
InitReadRoot: total = 24078664
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 13456.6 13679.7 11600.7
0/24078664
 Incomplete 
Sec_Event 822629 N50: 39
T: 0.695304 Q: 1.09369
T: 0.662404 Q: -0.0509505
T: 0.63101 Q: -0.0499151
T: 0.602078 Q: 1.06555
T: 0.576486 Q: 1.12659
T: 0.555012 Q: -0.0354275
T: 0.538308 Q: -0.0390016
T: 0.526881 Q: -0.0315337
T: 0.52108 Q: 1.23264
T: 0.52108 Q: -0.0238603
T: 0.526881 Q: -0.0240026
T: 0.538308 Q: 1.44669
T: 0.555012 Q: 1.07119
T: 0.576486 Q: -0.0257008
T: 0.602078 Q: 1.06613
T: 0.63101 Q: -0.0212914
T: 0.662404 Q: 2.13605
T: 0.695304 Q: 1.01078
T: 0.728712 Q: -0.0283933
T: 0.761613 Q: -0.0325881
T: 0.793006 Q: -0.0277126
T: 0.821939 Q: 5.35519
T: 0.847531 Q: 0.871959
T: 0.869005 Q: -0.0470883
T: 0.885709 Q: 1.15344
T: 0.897135 Q: -0.040608
T: 0.902937 Q: -0.0474535
T: 0.902937 Q: 0.949489
T: 0.897135 Q: -0.0460857
T: 0.885709 Q: -0.0488466
T: 0.869005 Q: 1.12127
T: 0.847531 Q: -0.0584776
T: 0.821939 Q: -0.0488847
T: 0.793006 Q: -0.0766826
T: 0.761613 Q: 1.3822
T: 0.728712 Q: -0.0562791
Sec_Event 1043200 N50: 25
Sec_Event 1144119 N50: 27
T: -0.0701247 Q: -0.0623012
T: -0.184975 Q: -0.0547212
T: -0.294565 Q: -0.0538969
T: -0.395563 Q: 1.44969
T: -0.484901 Q: 1.25398
T: -0.559864 Q: 1.33258
T: -0.618175 Q: -0.0860248
T: -0.658062 Q: -0.0739601
T: -0.678314 Q: -0.0668648
T: -0.678314 Q: -0.0687018
T: -0.658062 Q: 1.43967
T: -0.618175 Q: -0.0816533
T: -0.559864 Q: -0.0500026
T: -0.484901 Q: -0.0415797
T: -0.395563 Q: -0.0270623
T: -0.294565 Q: -0.0306384
T: -0.184975 Q: -0.0257277
T: -0.0701247 Q: -0.022971
T: 0.0464977 Q: -0.0166468
T: 0.161348 Q: 1.42397
T: 0.270938 Q: -0.0220922
T: 0.371936 Q: -0.027619
T: 0.461273 Q: -0.0336954
T: 0.536237 Q: -0.033153
T: 0.594548 Q: 1.05729
T: 0.634435 Q: -0.0300161
T: 0.654687 Q: 1.15482
T: 0.654687 Q: -0.0263807
T: 0.634435 Q: -0.0240197
T: 0.594548 Q: -0.0290831
T: 0.536237 Q: -0.0386318
T: 0.461273 Q: -0.0500296
T: 0.371936 Q: -0.0536507
T: 0.270938 Q: -0.0486109
T: 0.161348 Q: 1.37461
T: 0.0464977 Q: -0.0590833
Sec_Event 1601670 N50: 28
T: -0.680077 Q: -0.0165138
T: -0.735164 Q: -0.0226632
T: -0.787727 Q: -0.0296924
T: -0.83617 Q: -0.0276676
T: -0.87902 Q: -0.0390701
T: -0.914975 Q: 1.13724
T: -0.942944 Q: 1.48266
T: -0.962075 Q: -0.0441162
T: -0.971788 Q: 1.47678
T: -0.971788 Q: -0.0406788
T: -0.962075 Q: -0.0395621
T: -0.942944 Q: -0.0409367
T: -0.914975 Q: 1.46626
T: -0.87902 Q: 1.47767
T: -0.83617 Q: -0.0687858
T: -0.787727 Q: -0.0616735
T: -0.735164 Q: -0.0664292
T: -0.680077 Q: -0.0601623
T: -0.624141 Q: -0.0553592
T: -0.569054 Q: -0.0569585
T: -0.516491 Q: -0.0537267
T: -0.468048 Q: -0.0424316
T: -0.425198 Q: -0.0396074
T: -0.389243 Q: 1.28492
T: -0.361274 Q: 1.25105
T: -0.342143 Q: 1.25604
T: -0.33243 Q: -0.0232823
T: -0.33243 Q: -0.0268511
T: -0.342143 Q: -0.0228721
T: -0.361274 Q: 2.66482
T: -0.389243 Q: -0.0153792
T: -0.425198 Q: -0.0151213
T: -0.468048 Q: -0.0129284
T: -0.516491 Q: -0.0159343
T: -0.569054 Q: -0.0166681
T: -0.624141 Q: 1.21027
Sec_Event 2028181 N50: 35
T: -0.509816 Q: -0.0217019
