Output file: output/wt_090549.root input file:/disk03/lowe10/sk7/sle/lomugd.090549.root
 Id of this manager : 10
InitReadRoot: total = 21808332
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12854.1
0/21808332
Sec_Event 120516 N50: 29
T: 0.0673992 Q: -0.0129768
T: -0.0458323 Q: -0.0170134
T: -0.153877 Q: -0.014714
T: -0.253451 Q: -0.0213866
T: -0.341529 Q: -0.0217524
T: -0.415436 Q: -0.0252559
T: -0.472925 Q: -0.0348348
T: -0.51225 Q: inf
T: -0.532216 Q: inf
T: -0.532216 Q: -0.0475435
T: -0.51225 Q: -0.0530589
T: -0.472925 Q: inf
T: -0.415436 Q: inf
T: -0.341529 Q: -0.0448942
T: -0.253451 Q: -0.0446305
T: -0.153877 Q: -0.0483398
T: -0.0458323 Q: -0.0386869
T: 0.0673992 Q: inf
T: 0.182378 Q: -0.0470726
T: 0.295609 Q: -0.0476036
T: 0.403653 Q: inf
T: 0.503227 Q: -0.0411896
T: 0.591306 Q: inf
T: 0.665213 Q: -0.0185564
T: 0.722702 Q: -0.0156876
T: 0.762027 Q: -0.0122692
T: 0.781992 Q: inf
T: 0.781992 Q: -0.0120329
T: 0.762027 Q: -0.0115406
T: 0.722702 Q: -0.0148969
T: 0.665213 Q: inf
T: 0.591306 Q: inf
T: 0.503227 Q: -0.0179001
T: 0.403653 Q: -0.0175947
T: 0.295609 Q: -0.0178371
T: 0.182378 Q: -0.0134366
Sec_Event 315655 N50: 36
T: -0.651743 Q: -0.00697946
T: -0.715179 Q: -0.00898187
T: -0.775709 Q: -0.0112148
T: -0.831494 Q: inf
T: -0.880839 Q: -0.0144086
T: -0.922244 Q: -0.0148085
T: -0.954451 Q: -0.0116474
T: -0.976483 Q: -0.0128307
T: -0.987668 Q: -0.011499
T: -0.987668 Q: -0.0131127
T: -0.976483 Q: -0.012064
T: -0.954451 Q: -0.0139034
T: -0.922244 Q: -0.0150267
T: -0.880839 Q: inf
T: -0.831494 Q: inf
T: -0.775709 Q: -0.0266254
T: -0.715179 Q: inf
T: -0.651743 Q: -0.0310818
T: -0.587328 Q: -0.0341977
T: -0.523892 Q: -0.0342093
T: -0.463362 Q: -0.0295184
T: -0.407577 Q: -0.0257295
T: -0.358233 Q: -0.020231
T: -0.316828 Q: -0.0244124
T: -0.28462 Q: -0.0167716
T: -0.262589 Q: -0.0180111
T: -0.251404 Q: inf
T: -0.251404 Q: -0.0172561
T: -0.262589 Q: -0.0107061
T: -0.28462 Q: -0.00773568
T: -0.316828 Q: inf
T: -0.358233 Q: -0.00649882
T: -0.407577 Q: -0.00599472
T: -0.463362 Q: -0.00849294
T: -0.523892 Q: -0.00527407
T: -0.587328 Q: -0.00534171
Sec_Event 650559 N50: 27
T: 0.68955 Q: -0.0157385
T: 0.654362 Q: -0.0107461
T: 0.620787 Q: inf
T: 0.589843 Q: -0.00363588
T: 0.562471 Q: -0.00538423
T: 0.539504 Q: inf
T: 0.521639 Q: -0.00102837
T: 0.509418 Q: -0.000718243
T: 0.503214 Q: -0.004747
T: 0.503214 Q: inf
T: 0.509418 Q: -0.000262569
T: 0.521639 Q: -0.000675144
T: 0.539504 Q: -0.00342563
T: 0.562471 Q: inf
T: 0.589843 Q: inf
T: 0.620787 Q: inf
T: 0.654362 Q: inf
T: 0.68955 Q: -0.00187331
T: 0.725281 Q: -0.00334511
T: 0.760469 Q: -0.00613638
T: 0.794045 Q: -0.0106083
T: 0.824989 Q: -0.0185345
T: 0.85236 Q: -0.0130135
T: 0.875327 Q: -0.014929
T: 0.893193 Q: -0.0122204
T: 0.905413 Q: -0.0127392
T: 0.911618 Q: -0.0118438
T: 0.911618 Q: -0.0112895
T: 0.905413 Q: -0.0125852
T: 0.893193 Q: -0.0118528
T: 0.875327 Q: inf
T: 0.85236 Q: -0.0184764
T: 0.824989 Q: -0.0150103
T: 0.794045 Q: -0.018217
T: 0.760469 Q: -0.0185998
T: 0.725281 Q: -0.0228415
Sec_Event 950053 N50: 27
T: -0.160527 Q: -0.0532978
T: -0.274288 Q: -0.061263
T: -0.382838 Q: inf
T: -0.482879 Q: inf
T: -0.571369 Q: -0.0800827
T: -0.645622 Q: -0.07424
T: -0.70338 Q: -0.0694404
