Output file: output/wt_090488.root input file:/disk03/lowe10/sk7/sle/lomugd.090488.root
 Id of this manager : 10
InitReadRoot: total = 20002896
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12434.5
0/20002896
Sec_Event 36931 N50: 25
T: -0.506487 Q: -0.0251176
T: -0.596613 Q: -0.0272771
T: -0.68261 Q: -0.0286153
T: -0.761865 Q: -0.046197
T: -0.831971 Q: -0.0620603
T: -0.890797 Q: -0.0902335
T: -0.936555 Q: -0.0636234
T: -0.967855 Q: -0.0668504
T: -0.983747 Q: -0.0547924
T: -0.983747 Q: inf
T: -0.967855 Q: inf
T: -0.936555 Q: -0.0646485
T: -0.890797 Q: inf
T: -0.831971 Q: -0.0847991
T: -0.761865 Q: inf
T: -0.68261 Q: -0.0349822
T: -0.596613 Q: -0.0298027
T: -0.506487 Q: -0.0230876
T: -0.41497 Q: -0.0246072
T: -0.324844 Q: -0.0186137
T: -0.238847 Q: -0.0150173
T: -0.159592 Q: -0.0331693
T: -0.0894862 Q: -0.0132399
T: -0.0306606 Q: -0.0130802
T: 0.0150976 Q: inf
T: 0.046398 Q: -0.0270067
T: 0.0622897 Q: -0.0145429
T: 0.0622897 Q: -0.0185043
T: 0.046398 Q: -0.0124062
T: 0.0150976 Q: -0.0151037
T: -0.0306606 Q: -0.00999581
T: -0.0894862 Q: -0.0123246
T: -0.159592 Q: inf
T: -0.238847 Q: -0.0140762
T: -0.324844 Q: inf
T: -0.41497 Q: -0.018342
Sec_Event 528200 N50: 35
T: -0.00758719 Q: -0.0192519
T: -0.122186 Q: inf
T: -0.231535 Q: inf
T: -0.332311 Q: -0.029108
T: -0.421453 Q: -0.0228543
T: -0.496252 Q: inf
T: -0.554435 Q: -0.0218221
T: -0.594235 Q: -0.0202017
T: -0.614442 Q: inf
T: -0.614442 Q: inf
T: -0.594235 Q: inf
T: -0.554435 Q: -0.0214316
T: -0.496252 Q: inf
T: -0.421453 Q: -0.00713571
T: -0.332311 Q: -0.00933609
T: -0.231535 Q: inf
T: -0.122186 Q: -0.00575683
T: -0.00758719 Q: -0.00482468
T: 0.108779 Q: inf
T: 0.223378 Q: -0.0052603
T: 0.332727 Q: -0.00851768
T: 0.433503 Q: -0.00921239
T: 0.522645 Q: -0.013754
T: 0.597444 Q: inf
T: 0.655627 Q: -0.0177246
T: 0.695427 Q: -0.0181564
T: 0.715634 Q: inf
T: 0.715634 Q: -0.0191604
T: 0.695427 Q: -0.0199329
T: 0.655627 Q: -0.0226772
T: 0.597444 Q: -0.030569
T: 0.522645 Q: -0.0280171
T: 0.433503 Q: -0.0260827
T: 0.332727 Q: -0.0203377
T: 0.223378 Q: -0.0279136
T: 0.108779 Q: -0.0192729
Sec_Event 768604 N50: 29
T: 0.0361638 Q: -0.0386671
T: -0.0777785 Q: -0.0444105
T: -0.186501 Q: -0.0459221
T: -0.2867 Q: -0.051847
T: -0.375331 Q: inf
T: -0.449702 Q: -0.0667762
T: -0.507552 Q: -0.0829034
T: -0.547124 Q: -0.0792642
T: -0.567215 Q: -0.0786686
T: -0.567215 Q: inf
T: -0.547124 Q: inf
T: -0.507552 Q: -0.0721434
T: -0.449702 Q: -0.0457118
T: -0.375331 Q: -0.0417852
T: -0.2867 Q: -0.0362793
T: -0.186501 Q: -0.031373
T: -0.0777785 Q: -0.0306684
T: 0.0361638 Q: -0.0281877
T: 0.151864 Q: -0.030186
T: 0.265806 Q: -0.0231993
T: 0.374529 Q: -0.0140776
T: 0.474728 Q: -0.00916431
T: 0.563359 Q: -0.00735266
T: 0.63773 Q: -0.00431094
T: 0.69558 Q: -0.00267151
T: 0.735151 Q: -0.00189999
T: 0.755243 Q: -0.00318112
T: 0.755243 Q: -0.00229418
T: 0.735151 Q: inf
T: 0.69558 Q: -0.00320591
T: 0.63773 Q: inf
T: 0.563359 Q: -0.00527073
T: 0.474728 Q: -0.00675704
T: 0.374529 Q: -0.0143577
T: 0.265806 Q: inf
T: 0.151864 Q: -0.0373639
Sec_Event 998476 N50: 33
T: 0.733956 Q: inf
T: 0.72279 Q: inf
T: 0.712135 Q: inf
T: 0.702316 Q: -0.00505418
T: 0.69363 Q: -0.0045164
T: 0.686342 Q: -0.00635201
