Output file: output/wt_090447.root input file:/disk03/lowe10/sk7/sle/lomugd.090447.root
 Id of this manager : 10
InitReadRoot: total = 20374806
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 16467.7 14591.3 12584.2
0/20374806
Sec_Event 257606 N50: 28
T: -0.695153 Q: -0.0374238
T: -0.744876 Q: 2.60727
T: -0.792322 Q: -0.0389786
T: -0.836047 Q: -0.0346813
T: -0.874725 Q: -0.0325878
T: -0.90718 Q: 1.36427
T: -0.932425 Q: 1.37719
T: -0.949694 Q: -0.0214869
T: -0.958461 Q: -0.0211736
T: -0.958461 Q: -0.0303497
T: -0.949694 Q: -0.0238573
T: -0.932425 Q: -0.0209561
T: -0.90718 Q: -0.0229845
T: -0.874725 Q: -0.0257381
T: -0.836047 Q: 1.24929
T: -0.792322 Q: -0.0200433
T: -0.744876 Q: -0.0216192
T: -0.695153 Q: 1.22432
T: -0.644663 Q: -0.0242075
T: -0.59494 Q: -0.0237772
T: -0.547494 Q: -0.0314808
T: -0.503768 Q: -0.0170009
T: -0.465091 Q: -0.0183362
T: -0.432636 Q: 1.15773
T: -0.407391 Q: -0.0214637
T: -0.390122 Q: -0.0202029
T: -0.381355 Q: -0.0239488
T: -0.381355 Q: 1.39399
T: -0.390122 Q: -0.0258054
T: -0.407391 Q: -0.0268415
T: -0.432636 Q: -0.0283929
T: -0.465091 Q: 2.61377
T: -0.503768 Q: 2.61381
T: -0.547494 Q: -0.0322754
T: -0.59494 Q: -0.0420377
T: -0.644663 Q: 1.37949
Sec_Event 369075 N50: 40
T: 0.282888 Q: -0.0650065
T: 0.180352 Q: 2.7832
T: 0.0825126 Q: -0.0605973
T: -0.00765638 Q: -0.0608409
T: -0.0874155 Q: -0.0677445
T: -0.154341 Q: 1.4021
T: -0.206401 Q: -0.0744232
T: -0.242011 Q: 1.53236
T: -0.260091 Q: 1.63293
T: -0.260091 Q: 2.82165
T: -0.242011 Q: 1.30827
T: -0.206401 Q: 2.73525
T: -0.154341 Q: -0.045789
T: -0.0874155 Q: -0.0333094
T: -0.00765638 Q: 1.18491
T: 0.0825126 Q: -0.0278739
T: 0.180352 Q: -0.0232129
T: 0.282888 Q: 1.3574
T: 0.387006 Q: 1.23072
T: 0.489543 Q: 1.28628
T: 0.587382 Q: -0.0157256
T: 0.677551 Q: -0.0137336
T: 0.75731 Q: 1.45508
T: 0.824236 Q: -0.0081573
T: 0.876295 Q: -0.00707676
T: 0.911905 Q: -0.00712252
T: 0.929985 Q: -0.0047163
T: 0.929985 Q: -0.00689411
T: 0.911905 Q: -0.0081297
T: 0.876295 Q: -0.00941273
T: 0.824236 Q: 3.00905
T: 0.75731 Q: 1.26246
T: 0.677551 Q: -0.0157354
T: 0.587382 Q: -0.025881
T: 0.489543 Q: 2.49288
T: 0.387006 Q: 1.16347
Sec_Event 478470 N50: 26
T: 0.593521 Q: -0.0274016
T: 0.531394 Q: 0.999161
T: 0.472113 Q: -0.0141654
T: 0.417479 Q: 1.07917
T: 0.369153 Q: -0.00904537
T: 0.328602 Q: 1.08545
T: 0.29706 Q: -0.00867574
T: 0.275483 Q: -0.0122796
T: 0.264529 Q: -0.010266
T: 0.264529 Q: -0.00497056
T: 0.275483 Q: 1.42852
T: 0.29706 Q: 2.23813
T: 0.328602 Q: -0.00836577
T: 0.369153 Q: -0.00753534
T: 0.417479 Q: -0.00839164
T: 0.472113 Q: 2.34004
T: 0.531394 Q: -0.00962726
T: 0.593521 Q: 0.999461
T: 0.656607 Q: -0.0188507
T: 0.718734 Q: -0.0194056
T: 0.778015 Q: -0.030279
T: 0.832648 Q: -0.0400791
T: 0.880975 Q: -0.0469307
T: 0.921525 Q: -0.0428642
T: 0.953068 Q: -0.0374344
T: 0.974644 Q: -0.0386746
T: 0.985599 Q: -0.0307337
T: 0.985599 Q: -0.0334709
T: 0.974644 Q: -0.0350629
T: 0.953068 Q: -0.0336444
T: 0.921525 Q: 2.64099
T: 0.880975 Q: -0.0388224
T: 0.832648 Q: -0.0463117
T: 0.778015 Q: -0.0710475
T: 0.718734 Q: -0.0394025
T: 0.656607 Q: -0.0380673
Sec_Event 616611 N50: 32
T: -0.247794 Q: -0.00425835
T: -0.358783 Q: 0.843426
