Output file: output/wt_090017.root input file:/disk03/lowe10/sk7/sle/lomugd.090017.root
 Id of this manager : 10
InitReadRoot: total = 25896521
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12581.5 13372.8 11301.2
0/25896521
Sec_Event 1175055 N50: 53
T: -0.598416 Q: -0.0614293
T: -0.673911 Q: 4.44712
T: -0.745948 Q: -0.0558569
T: -0.812338 Q: 1.08165
T: -0.871063 Q: -0.037096
T: -0.920339 Q: 1.34498
T: -0.958669 Q: -0.0263539
T: -0.984889 Q: 1.4332
T: -0.998201 Q: -0.038375
T: -0.998201 Q: 2.647
T: -0.984889 Q: -0.0331183
T: -0.958669 Q: -0.0258521
T: -0.920339 Q: -0.0315515
T: -0.871063 Q: -0.0251494
T: -0.812338 Q: 1.94057
T: -0.745948 Q: 1.04584
T: -0.673911 Q: -0.0265032
T: -0.598416 Q: -0.0349035
T: -0.521755 Q: -0.0259047
T: -0.44626 Q: 2.47768
T: -0.374223 Q: -0.0242403
T: -0.307833 Q: 1.1235
T: -0.249108 Q: 1.15799
T: -0.199832 Q: -0.0320059
T: -0.161502 Q: 2.68192
T: -0.135282 Q: 1.37398
T: -0.12197 Q: -0.0449445
T: -0.12197 Q: -0.0474626
T: -0.135282 Q: -0.0518163
T: -0.161502 Q: -0.0547563
T: -0.199832 Q: 4.57159
T: -0.249108 Q: 1.50894
T: -0.307833 Q: -0.0489798
T: -0.374223 Q: -0.0495893
T: -0.44626 Q: -0.0579452
T: -0.521755 Q: -0.0586273
Sec_Event 2280496 N50: 31
T: 0.111084 Q: -0.000930568
T: -0.000810866 Q: -0.00156991
T: -0.10758 Q: 1.08908
T: -0.205979 Q: -0.00175719
T: -0.293018 Q: 1.13413
T: -0.366053 Q: 1.11682
T: -0.422863 Q: 1.34172
T: -0.461724 Q: -0.00919585
T: -0.481454 Q: -0.00605771
T: -0.481454 Q: -0.011659
T: -0.461724 Q: -0.0117905
T: -0.422863 Q: -0.020478
T: -0.366053 Q: -0.0177417
T: -0.293018 Q: -0.0216609
T: -0.205979 Q: 2.12203
T: -0.10758 Q: -0.0302302
T: -0.000810866 Q: 1.1976
T: 0.111084 Q: -0.0237486
T: 0.224706 Q: -0.0271748
T: 0.336601 Q: 1.09872
T: 0.44337 Q: -0.0245803
T: 0.54177 Q: 1.3152
T: 0.628809 Q: -0.0101594
T: 0.701843 Q: -0.0103939
T: 0.758654 Q: -0.00986137
T: 0.797515 Q: -0.00631769
T: 0.817245 Q: -0.00698094
T: 0.817245 Q: 1.13405
T: 0.797515 Q: -0.00509754
T: 0.758654 Q: -0.00754752
T: 0.701843 Q: 1.19657
T: 0.628809 Q: -0.00264187
T: 0.54177 Q: 1.42545
T: 0.44337 Q: 1.17169
T: 0.336601 Q: -0.00263548
T: 0.224706 Q: -0.00206234
Sec_Event 2494709 N50: 34
T: -0.628535 Q: 1.09125
T: -0.697677 Q: -0.00908186
T: -0.763652 Q: 1.02568
T: -0.824454 Q: -0.00496785
T: -0.878238 Q: -0.00395755
T: -0.923367 Q: -0.0028059
T: -0.958471 Q: -0.00328655
T: -0.982484 Q: -0.00225512
T: -0.994676 Q: -0.00373948
T: -0.994676 Q: 1.18074
T: -0.982484 Q: -0.00382051
T: -0.958471 Q: 1.0667
T: -0.923367 Q: -0.00307151
T: -0.878238 Q: 1.02915
T: -0.824454 Q: -0.00360693
T: -0.763652 Q: -0.00276644
T: -0.697677 Q: -0.00210993
T: -0.628535 Q: -0.00408358
T: -0.558326 Q: 1.0804
T: -0.489184 Q: -0.00252466
T: -0.423209 Q: -0.00347252
T: -0.362406 Q: 1.11151
T: -0.308623 Q: -0.00306622
T: -0.263494 Q: -0.00472198
T: -0.228389 Q: -0.00382118
T: -0.204376 Q: -0.00741135
T: -0.192185 Q: 1.79595
T: -0.192185 Q: -0.010596
T: -0.204376 Q: 0.958879
T: -0.228389 Q: -0.0129793
T: -0.263494 Q: -0.015547
T: -0.308623 Q: -0.0196185
T: -0.362406 Q: -0.0223332
T: -0.423209 Q: -0.024315
T: -0.489184 Q: -0.0245035
T: -0.558326 Q: 1.06275
Sec_Event 2494709 N50: 41
T: -0.643765 Q: 0.924201
T: -0.709257 Q: -0.0135011
