Output file: output/wt_090527.root input file:/disk03/lowe10/sk7/sle/lomugd.090527.root
 Id of this manager : 10
InitReadRoot: total = 16487798
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12237.7
0/16487798
Sec_Event 110831 N50: 29
T: 0.711983 Q: -0.0561513
T: 0.686649 Q: -0.0459471
T: 0.662476 Q: -0.0447586
T: 0.640197 Q: -0.0479924
T: 0.620491 Q: -0.0451324
T: 0.603956 Q: inf
T: 0.591093 Q: inf
T: 0.582295 Q: inf
T: 0.577828 Q: -0.0340595
T: 0.577828 Q: -0.0489809
T: 0.582295 Q: -0.0449107
T: 0.591093 Q: -0.0416552
T: 0.603956 Q: -0.0391221
T: 0.620491 Q: -0.0423531
T: 0.640197 Q: -0.044497
T: 0.662476 Q: -0.0407
T: 0.686649 Q: -0.0358251
T: 0.711983 Q: -0.0482143
T: 0.737707 Q: -0.0456444
T: 0.763041 Q: -0.0436456
T: 0.787214 Q: -0.0423741
T: 0.809493 Q: inf
T: 0.829199 Q: inf
T: 0.845734 Q: -0.0447098
T: 0.858597 Q: inf
T: 0.867395 Q: -0.0480364
T: 0.871862 Q: inf
T: 0.871862 Q: -0.0477616
T: 0.867395 Q: -0.0520318
T: 0.858597 Q: inf
T: 0.845734 Q: inf
T: 0.829199 Q: inf
T: 0.809493 Q: -0.0433742
T: 0.787214 Q: -0.0475671
T: 0.763041 Q: -0.067795
T: 0.737707 Q: -0.0523107
Sec_Event 1278937 N50: 38
T: -0.704409 Q: inf
T: -0.750364 Q: -0.0108288
T: -0.794215 Q: -0.0105541
T: -0.834628 Q: inf
T: -0.870375 Q: -0.0154815
T: -0.90037 Q: inf
T: -0.923703 Q: -0.0170823
T: -0.939663 Q: -0.0135689
T: -0.947766 Q: -0.0146602
T: -0.947766 Q: -0.016148
T: -0.939663 Q: -0.0168839
T: -0.923703 Q: -0.014685
T: -0.90037 Q: -0.019204
T: -0.870375 Q: -0.0224927
T: -0.834628 Q: -0.0250689
T: -0.794215 Q: -0.0308521
T: -0.750364 Q: -0.0381416
T: -0.704409 Q: inf
T: -0.657744 Q: inf
T: -0.611788 Q: -0.0495836
T: -0.567938 Q: -0.0604201
T: -0.527525 Q: -0.0552382
T: -0.491778 Q: -0.0575439
T: -0.461782 Q: -0.0544056
T: -0.43845 Q: -0.0402182
T: -0.42249 Q: -0.0380578
T: -0.414386 Q: -0.0371933
T: -0.414386 Q: -0.0435121
T: -0.42249 Q: -0.0361978
T: -0.43845 Q: -0.0265488
T: -0.461782 Q: -0.0238751
T: -0.491778 Q: -0.0179133
T: -0.527525 Q: -0.0179597
T: -0.567938 Q: -0.0147523
T: -0.611788 Q: inf
T: -0.657744 Q: inf
Sec_Event 1278937 N50: 39
T: -0.0774071 Q: -0.00976727
T: -0.192234 Q: -0.00877548
T: -0.301801 Q: -0.00900246
T: -0.402778 Q: -0.0118631
T: -0.492098 Q: inf
T: -0.567046 Q: inf
T: -0.625346 Q: inf
T: -0.665225 Q: -0.0382194
T: -0.685472 Q: -0.0482117
T: -0.685472 Q: -0.0465491
T: -0.665225 Q: -0.0451315
T: -0.625346 Q: -0.0478006
T: -0.567046 Q: -0.0561071
T: -0.492098 Q: -0.0625257
T: -0.402778 Q: -0.0665616
T: -0.301801 Q: -0.059534
T: -0.192234 Q: inf
T: -0.0774071 Q: inf
T: 0.0391915 Q: inf
T: 0.154019 Q: -0.0588727
T: 0.263586 Q: -0.0491762
T: 0.364563 Q: -0.051898
T: 0.453883 Q: inf
T: 0.528831 Q: -0.0463466
T: 0.58713 Q: inf
T: 0.627009 Q: inf
T: 0.647256 Q: -0.0313291
T: 0.647256 Q: inf
T: 0.627009 Q: -0.030936
T: 0.58713 Q: -0.0292784
T: 0.528831 Q: -0.0236822
T: 0.453883 Q: -0.014501
T: 0.364563 Q: -0.0122399
T: 0.263586 Q: inf
T: 0.154019 Q: inf
T: 0.0391915 Q: inf
Sec_Event 2539142 N50: 37
T: 0.532416 Q: -0.00105584
T: 0.458686 Q: -0.000789674
T: 0.388335 Q: -0.000706229
T: 0.323498 Q: -0.000406543
T: 0.266147 Q: inf
T: 0.218023 Q: inf
T: 0.18059 Q: -0.000645007
T: 0.154984 Q: -0.00130987
