Output file: output/wt_090229.root input file:/disk03/lowe10/sk7/sle/lomugd.090229.root
 Id of this manager : 10
InitReadRoot: total = 13375531
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 15327.3 14036.4 12367.4
0/13375531
Sec_Event 115250 N50: 32
T: 0.188655 Q: 4.80806
T: 0.0801446 Q: -0.0139243
T: -0.0233952 Q: -0.0150334
T: -0.118818 Q: 1.33667
T: -0.203224 Q: -0.010837
T: -0.27405 Q: -0.0116398
T: -0.329142 Q: 4.06622
T: -0.366827 Q: 1.19627
T: -0.385961 Q: -0.0161814
T: -0.385961 Q: -0.0169677
T: -0.366827 Q: 1.17696
T: -0.329142 Q: 2.92822
T: -0.27405 Q: -0.0165838
T: -0.203224 Q: -0.0165504
T: -0.118818 Q: -0.0181236
T: -0.0233952 Q: -0.019878
T: 0.0801446 Q: -0.0253777
T: 0.188655 Q: -0.0219803
T: 0.29884 Q: -0.0189591
T: 0.407351 Q: -0.0360661
T: 0.510891 Q: -0.0308305
T: 0.606313 Q: -0.0336445
T: 0.69072 Q: 1.44309
T: 0.761545 Q: -0.022879
T: 0.816638 Q: 1.29682
T: 0.854323 Q: -0.0191538
T: 0.873456 Q: 1.07885
T: 0.873456 Q: -0.0161911
T: 0.854323 Q: -0.0188352
T: 0.816638 Q: -0.0197045
T: 0.761545 Q: -0.0189627
T: 0.69072 Q: 1.14894
T: 0.606313 Q: -0.0173683
T: 0.510891 Q: -0.015475
T: 0.407351 Q: -0.0386272
T: 0.29884 Q: -0.0143603
Sec_Event 692486 N50: 39
T: -0.364919 Q: 1.12954
T: -0.469171 Q: -0.00599043
T: -0.568647 Q: -0.00426675
T: -0.660325 Q: 1.04782
T: -0.741419 Q: 1.05597
T: -0.809465 Q: -0.0232111
T: -0.862396 Q: -0.0229575
T: -0.898602 Q: 1.21854
T: -0.916985 Q: -0.0241623
T: -0.916985 Q: -0.0223663
T: -0.898602 Q: 3.47176
T: -0.862396 Q: -0.0210966
T: -0.809465 Q: 0.911234
T: -0.741419 Q: -0.0196035
T: -0.660325 Q: -0.0145277
T: -0.568647 Q: 1.07077
T: -0.469171 Q: -0.008875
T: -0.364919 Q: -0.00772605
T: -0.259058 Q: -0.00624586
T: -0.154805 Q: -0.00651036
T: -0.055329 Q: 1.04797
T: 0.036349 Q: -0.00995654
T: 0.117443 Q: 1.05709
T: 0.185489 Q: 2.37885
T: 0.238419 Q: -0.00566257
T: 0.274626 Q: 1.16936
T: 0.293008 Q: 1.09926
T: 0.293008 Q: -0.00388297
T: 0.274626 Q: 2.6183
T: 0.238419 Q: -0.00316472
T: 0.185489 Q: 1.24279
T: 0.117443 Q: -0.00372606
T: 0.036349 Q: -0.00192743
T: -0.055329 Q: -0.00283056
T: -0.154805 Q: -0.00274895
T: -0.259058 Q: 1.33823
Sec_Event 725474 N50: 28
T: 0.442464 Q: -0.0137293
T: 0.35564 Q: -0.00901508
T: 0.272794 Q: -0.0068555
T: 0.196442 Q: -0.0047837
T: 0.128905 Q: -0.00509983
T: 0.0722346 Q: 1.34164
T: 0.0281529 Q: -0.00328759
T: -0.00200082 Q: -0.00311309
T: -0.0173102 Q: -0.00429374
T: -0.0173102 Q: 1.17211
T: -0.00200082 Q: -0.00261125
T: 0.0281529 Q: -0.00167984
T: 0.0722346 Q: -0.00242806
T: 0.128905 Q: -0.00194129
T: 0.196442 Q: -0.00203676
T: 0.272794 Q: -0.0035576
T: 0.35564 Q: 1.237
T: 0.442464 Q: 1.01185
T: 0.530628 Q: -0.00415125
T: 0.617452 Q: -0.00555587
T: 0.700299 Q: -0.00846592
T: 0.77665 Q: 1.08934
T: 0.844187 Q: -0.0158499
T: 0.900858 Q: -0.036561
T: 0.94494 Q: -0.0631763
T: 0.975093 Q: 1.5845
T: 0.990403 Q: -0.0490055
T: 0.990403 Q: 0.940083
T: 0.975093 Q: -0.0530954
T: 0.94494 Q: -0.0597571
T: 0.900858 Q: -0.0622911
T: 0.844187 Q: -0.0617027
T: 0.77665 Q: -0.0400839
T: 0.700299 Q: 1.94698
T: 0.617452 Q: -0.0154667
T: 0.530628 Q: -0.0118416
Sec_Event 1270594 N50: 31
T: -0.316775 Q: -0.0081727
T: -0.424253 Q: -0.0105784
