Output file: output/wt_090446.root input file:/disk03/lowe10/sk7/sle/lomugd.090446.root
 Id of this manager : 10
InitReadRoot: total = 20339491
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 16821.8 14605.8 12695.6
0/20339491
Sec_Event 127451 N50: 33
T: -0.213952 Q: 0.989372
T: -0.326226 Q: 1.921
T: -0.433357 Q: -0.011817
T: -0.532089 Q: -0.0127077
T: -0.619423 Q: -0.00815312
T: -0.692705 Q: -0.00531905
T: -0.749708 Q: -0.00567301
T: -0.788701 Q: 1.07447
T: -0.808498 Q: 2.27231
T: -0.808498 Q: 1.31946
T: -0.788701 Q: -0.0025263
T: -0.749708 Q: -0.00227871
T: -0.692705 Q: 1.07344
T: -0.619423 Q: -0.000957043
T: -0.532089 Q: 1.06992
T: -0.433357 Q: -0.00102355
T: -0.326226 Q: -0.00131511
T: -0.0999458 Q: -0.000847658
T: 0.0123285 Q: 2.28277
T: 0.119459 Q: 1.1708
T: 0.218192 Q: -0.00061491
T: 0.305525 Q: -0.00104362
T: 0.378807 Q: 1.21991
T: 0.43581 Q: -0.00110267
T: 0.474803 Q: 1.15935
T: 0.4946 Q: 2.24413
T: 0.4946 Q: -0.00321123
T: 0.474803 Q: 0.842403
T: 0.43581 Q: 0.93295
T: 0.378807 Q: -0.00645765
T: 0.305525 Q: 0.964658
T: 0.218192 Q: -0.0122465
T: 0.119459 Q: 0.907566
T: 0.0123285 Q: -0.0141061
T: -0.0999458 Q: -0.0138764
Sec_Event 127451 N50: 37
T: -0.73615 Q: 2.23754
T: -0.763037 Q: 0.99697
T: -0.788693 Q: -0.0159495
T: -0.812337 Q: -0.0155991
T: -0.833252 Q: 0.897557
T: -0.850801 Q: -0.0253867
T: -0.864452 Q: -0.0189975
T: -0.87379 Q: -0.0185978
T: -0.878531 Q: -0.0169899
T: -0.878531 Q: -0.019352
T: -0.87379 Q: -0.0229672
T: -0.864452 Q: -0.0220454
T: -0.850801 Q: -0.0280104
T: -0.833252 Q: -0.0261889
T: -0.812337 Q: -0.0362264
T: -0.788693 Q: 1.2324
T: -0.763037 Q: 1.2157
T: -0.73615 Q: -0.0386068
T: -0.708848 Q: -0.0378754
T: -0.681961 Q: 1.30571
T: -0.656305 Q: -0.048855
T: -0.632661 Q: 1.24397
T: -0.611746 Q: -0.0465836
T: -0.594197 Q: -0.0382809
T: -0.580546 Q: -0.0462894
T: -0.571208 Q: -0.0365015
T: -0.566467 Q: -0.0364696
T: -0.566467 Q: -0.0375366
T: -0.571208 Q: -0.029471
T: -0.580546 Q: 1.29221
T: -0.594197 Q: 1.37515
T: -0.611746 Q: -0.0176252
T: -0.632661 Q: -0.0188394
T: -0.656305 Q: 1.00616
T: -0.681961 Q: 1.03098
T: -0.708848 Q: 2.49189
Sec_Event 599614 N50: 43
T: -0.593118 Q: 1.11841
T: -0.669632 Q: 1.00888
T: -0.742641 Q: -0.00373878
T: -0.809926 Q: 0.939642
T: -0.869443 Q: 0.860916
T: -0.919384 Q: -0.011341
T: -0.958231 Q: -0.0100563
T: -0.984804 Q: -0.0101059
T: -0.998296 Q: -0.00863987
T: -0.998296 Q: 2.63762
T: -0.984804 Q: 1.11348
T: -0.958231 Q: 1.36494
T: -0.919384 Q: -0.0132321
T: -0.869443 Q: -0.0161778
T: -0.809926 Q: 2.69608
T: -0.742641 Q: -0.0121623
T: -0.669632 Q: -0.0142732
T: -0.593118 Q: -0.0120407
T: -0.515424 Q: 1.05739
T: -0.43891 Q: -0.00499097
T: -0.365901 Q: -0.00555473
T: -0.298616 Q: 2.19505
T: -0.239099 Q: -0.00142504
T: -0.189158 Q: 1.09689
T: -0.150311 Q: -0.00380802
T: -0.123738 Q: -0.000902946
T: -0.110247 Q: -0.00144958
T: -0.110247 Q: -0.000595339
T: -0.123738 Q: -0.000856436
T: -0.150311 Q: -0.00183281
T: -0.189158 Q: -0.000742274
T: -0.239099 Q: -0.00103231
T: -0.298616 Q: 1.3897
T: -0.365901 Q: 2.44004
T: -0.43891 Q: -0.0029228
T: -0.515424 Q: -0.00140661
Sec_Event 1421329 N50: 45
T: -0.23903 Q: 0.901415
T: -0.350378 Q: -0.00211903
T: -0.456625 Q: 1.10347
T: -0.554542 Q: 2.18621
