Output file: output/wt_090072.root input file:/disk03/lowe10/sk7/sle/lomugd.090072.root
 Id of this manager : 10
InitReadRoot: total = 4816199
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12098.3 13686.2 11827.4
0/4816199
Sec_Event 250818 N50: 30
T: 0.13382 Q: -0.0361009
T: 0.0227803 Q: 1.64828
T: -0.0831724 Q: -0.0454065
T: -0.180819 Q: -0.0393092
T: -0.267192 Q: -0.0353182
T: -0.339668 Q: -0.0473393
T: -0.396044 Q: 1.30557
T: -0.434608 Q: -0.0509429
T: -0.454187 Q: -0.0588816
T: -0.454187 Q: -0.040564
T: -0.434608 Q: 1.26287
T: -0.396044 Q: -0.0402845
T: -0.339668 Q: -0.0314494
T: -0.267192 Q: -0.0221305
T: -0.180819 Q: 1.36029
T: -0.0831724 Q: -0.0188339
T: 0.0227803 Q: -0.0157203
T: 0.13382 Q: 1.57408
T: 0.246572 Q: -0.0151918
T: 0.357612 Q: -0.0230047
T: 0.463564 Q: -0.0152168
T: 0.561211 Q: 0.988989
T: 0.647584 Q: -0.00341016
T: 0.72006 Q: -0.00449544
T: 0.776436 Q: -0.00271981
T: 0.815 Q: -0.00149274
T: 0.834579 Q: -0.00255633
T: 0.834579 Q: -0.00337703
T: 0.815 Q: 1.16623
T: 0.776436 Q: 2.09609
T: 0.72006 Q: -0.00300112
T: 0.647584 Q: -0.00363545
T: 0.561211 Q: -0.00635609
T: 0.463564 Q: -0.0113319
T: 0.357612 Q: 0.97303
T: 0.246572 Q: -0.0401632
Sec_Event 349270 N50: 39
T: -0.686849 Q: -0.0222831
T: -0.739627 Q: -0.0182328
T: -0.789987 Q: -0.0129695
T: -0.8364 Q: -0.0100466
T: -0.877454 Q: 1.30804
T: -0.911902 Q: 1.29334
T: -0.938699 Q: -0.0094263
T: -0.957028 Q: 1.34982
T: -0.966335 Q: 2.47709
T: -0.966335 Q: -0.00642343
T: -0.957028 Q: -0.00631464
T: -0.938699 Q: 1.32217
T: -0.911902 Q: -0.00742257
T: -0.877454 Q: -0.00753245
T: -0.8364 Q: -0.00794969
T: -0.789987 Q: 0.936985
T: -0.739627 Q: -0.00869557
T: -0.686849 Q: 0.944158
T: -0.633256 Q: -0.00931359
T: -0.580478 Q: 1.17021
T: -0.530118 Q: 1.16491
T: -0.483705 Q: 2.24914
T: -0.442651 Q: -0.0174353
T: -0.408202 Q: 1.24797
T: -0.381406 Q: -0.0255697
T: -0.363076 Q: -0.0324269
T: -0.35377 Q: -0.0332635
T: -0.35377 Q: -0.039574
T: -0.363076 Q: -0.0406074
T: -0.381406 Q: -0.0421081
T: -0.408202 Q: -0.0461971
T: -0.442651 Q: -0.0492536
T: -0.483705 Q: -0.0449342
T: -0.530118 Q: -0.0424594
T: -0.580478 Q: 2.11703
T: -0.633256 Q: -0.0256367
Sec_Event 463208 N50: 36
T: 0.576185 Q: -0.00420635
T: 0.510478 Q: -0.00444902
T: 0.44778 Q: 0.975876
T: 0.389998 Q: 0.717308
T: 0.338886 Q: -0.0107541
T: 0.295999 Q: -0.0116696
T: 0.262638 Q: 0.871125
T: 0.239818 Q: -0.0141023
T: 0.228232 Q: -0.0255902
T: 0.228232 Q: 0.67237
T: 0.239818 Q: 0.689306
T: 0.262638 Q: -0.0211613
T: 0.295999 Q: -0.0219553
T: 0.338886 Q: -0.021041
T: 0.389998 Q: -0.0140065
T: 0.44778 Q: 0.886778
T: 0.510478 Q: -0.00420935
T: 0.576185 Q: 1.10566
T: 0.642907 Q: -0.00300424
T: 0.708614 Q: -0.0020463
T: 0.771312 Q: 1.09635
T: 0.829094 Q: 1.16127
T: 0.880205 Q: 2.63493
T: 0.923093 Q: -0.000440212
T: 0.956454 Q: -0.00106312
T: 0.979274 Q: -0.000942289
T: 0.99086 Q: -0.00032021
T: 0.99086 Q: -0.000860336
T: 0.979274 Q: -0.000327621
T: 0.956454 Q: -0.000765623
T: 0.923093 Q: 2.6093
T: 0.880205 Q: 1.10569
T: 0.829094 Q: -0.000658703
T: 0.771312 Q: 1.22218
T: 0.708614 Q: 2.7346
T: 0.642907 Q: -0.00212244
Sec_Event 639600 N50: 25
Sec_Event 714119 N50: 30
Sec_Event 891022 N50: 50
