Output file: output/wt_090444.root input file:/disk03/lowe10/sk7/sle/lomugd.090444.root
 Id of this manager : 10
InitReadRoot: total = 565143
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 16821.8 14605.8 12695.6
0/565143
Sec_Event 673499 N50: 30
T: 0.71751 Q: -0.0251544
T: 0.695113 Q: -0.0189678
T: 0.673742 Q: -0.00969673
T: 0.654046 Q: 0.85144
T: 0.636624 Q: 0.846615
T: 0.622005 Q: 0.982029
T: 0.610634 Q: -0.0032962
T: 0.602856 Q: -0.00288703
T: 0.598906 Q: 1.16575
T: 0.598906 Q: -0.00177654
T: 0.602856 Q: -0.00114066
T: 0.610634 Q: -0.00191654
T: 0.622005 Q: -0.00156805
T: 0.636624 Q: 1.38177
T: 0.654046 Q: -0.00247937
T: 0.673742 Q: -0.00310974
T: 0.695113 Q: 0.936281
T: 0.71751 Q: -0.0057734
T: 0.740252 Q: -0.00749565
T: 0.762649 Q: -0.0188405
T: 0.78402 Q: -0.025574
T: 0.803716 Q: -0.0463285
T: 0.821138 Q: -0.0605049
T: 0.835757 Q: -0.0721193
T: 0.847128 Q: -0.075712
T: 0.854906 Q: -0.0574686
T: 0.858855 Q: 2.31647
T: 0.858855 Q: -0.0608217
T: 0.854906 Q: -0.061757
T: 0.847128 Q: -0.070846
T: 0.835757 Q: -0.069765
T: 0.821138 Q: -0.0638385
T: 0.803716 Q: 3.83661
T: 0.78402 Q: -0.0675382
T: 0.762649 Q: -0.0574294
T: 0.740252 Q: -0.0402029
Sec_Event 828101 N50: 25
T: -0.420354 Q: -0.010413
T: -0.519991 Q: -0.0160658
T: -0.615063 Q: -0.026019
T: -0.702682 Q: -0.0238108
T: -0.780186 Q: -0.0327234
T: -0.845219 Q: 0.927037
T: -0.895806 Q: -0.0379671
T: -0.930409 Q: -0.039135
T: -0.947978 Q: -0.0404925
T: -0.947978 Q: -0.0441051
T: -0.930409 Q: -0.0402247
T: -0.895806 Q: -0.0261874
T: -0.845219 Q: -0.0122523
T: -0.780186 Q: 1.37654
T: -0.702682 Q: -0.00564747
T: -0.615063 Q: -0.00320598
T: -0.519991 Q: 1.14997
T: -0.420354 Q: 1.26977
T: -0.31918 Q: -0.00198789
T: -0.219543 Q: -0.00260677
T: -0.124471 Q: -0.00353642
T: -0.036852 Q: 1.20924
T: 0.0406516 Q: -0.00204208
T: 0.105685 Q: -0.00646648
T: 0.156272 Q: -0.0024922
T: 0.190875 Q: -0.00271152
T: 0.208444 Q: -0.00209995
T: 0.208444 Q: 1.37049
T: 0.190875 Q: -0.00403495
T: 0.156272 Q: -0.00643676
T: 0.105685 Q: -0.00413
T: 0.0406516 Q: 1.30026
T: -0.036852 Q: -0.0128249
T: -0.124471 Q: -0.00667452
T: -0.219543 Q: -0.00736451
T: -0.31918 Q: -0.0158994
Sec_Event 828101 N50: 26
T: 0.553123 Q: -0.0181576
T: 0.483024 Q: 1.42078
T: 0.416136 Q: -0.0373178
T: 0.354492 Q: -0.0122307
T: 0.299964 Q: -0.0122918
T: 0.25421 Q: -0.0112366
T: 0.21862 Q: -0.00988139
T: 0.194275 Q: -0.00991043
T: 0.181915 Q: -0.0137736
T: 0.181915 Q: -0.00981352
T: 0.194275 Q: -0.00746368
T: 0.21862 Q: 1.21977
T: 0.25421 Q: -0.00995731
T: 0.299964 Q: 1.32383
T: 0.354492 Q: -0.0156405
T: 0.416136 Q: -0.0121265
T: 0.483024 Q: -0.0142917
T: 0.553123 Q: 1.66158
T: 0.624303 Q: -0.0293743
T: 0.694402 Q: -0.0195351
T: 0.76129 Q: -0.0175465
T: 0.822934 Q: 1.18601
T: 0.877461 Q: 1.19658
T: 0.923215 Q: -0.0140891
T: 0.958806 Q: -0.0147007
T: 0.983151 Q: -0.0111167
T: 0.995511 Q: -0.010137
T: 0.995511 Q: -0.00950498
T: 0.983151 Q: -0.01165
T: 0.958806 Q: -0.0107515
T: 0.923215 Q: -0.0118766
T: 0.877461 Q: 1.34668
T: 0.822934 Q: -0.0162344
T: 0.76129 Q: 1.23414
T: 0.694402 Q: -0.0178882
T: 0.624303 Q: -0.0207615
Sec_Event 1903306 N50: 36
T: 0.0156674 Q: -0.0280452
T: -0.0986315 Q: 2.55058
