Output file: output/wt_090182.root input file:/disk03/lowe10/sk7/sle/lomugd.090182.root
 Id of this manager : 10
InitReadRoot: total = 21247970
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12788 15082.7 12499.3
0/21247970
Sec_Event 296449 N50: 30
T: 0.609282 Q: 1.31322
T: 0.550652 Q: -0.0296494
T: 0.494709 Q: -0.0157323
T: 0.443151 Q: -0.0116006
T: 0.397545 Q: 1.08631
T: 0.359277 Q: -0.00561424
T: 0.32951 Q: 1.2448
T: 0.309148 Q: -0.00321151
T: 0.29881 Q: 1.24562
T: 0.29881 Q: -0.00172963
T: 0.309148 Q: -0.00145045
T: 0.32951 Q: -0.00223772
T: 0.359277 Q: -0.00131454
T: 0.397545 Q: -0.00235187
T: 0.443151 Q: 1.15744
T: 0.494709 Q: -0.00180135
T: 0.550652 Q: -0.00298353
T: 0.609282 Q: -0.00276022
T: 0.668816 Q: -0.00368697
T: 0.727445 Q: -0.00415583
T: 0.783389 Q: -0.00843937
T: 0.834947 Q: -0.0146874
T: 0.880553 Q: -0.0288621
T: 0.91882 Q: -0.0516863
T: 0.948587 Q: -0.0388592
T: 0.968949 Q: -0.031401
T: 0.979287 Q: 1.67492
T: 0.979287 Q: -0.0366729
T: 0.968949 Q: 1.38795
T: 0.948587 Q: 1.23321
T: 0.91882 Q: 2.95943
T: 0.880553 Q: -0.0465012
T: 0.834947 Q: -0.0592613
T: 0.783389 Q: 1.46772
T: 0.727445 Q: 1.03811
T: 0.668816 Q: -0.0377708
Sec_Event 1747051 N50: 36
T: -0.16666 Q: 1.00862
T: -0.280283 Q: -0.000430994
T: -0.388701 Q: 2.00303
T: -0.48862 Q: -0.000518282
T: -0.577004 Q: -0.00237888
T: -0.651166 Q: 0.7509
T: -0.708854 Q: -0.00515699
T: -0.748316 Q: -0.00527881
T: -0.76835 Q: 0.845408
T: -0.76835 Q: 1.33705
T: -0.748316 Q: 0.812319
T: -0.708854 Q: -0.045128
T: -0.651166 Q: -0.0419334
T: -0.577004 Q: 0.856741
T: -0.48862 Q: -0.0355003
T: -0.388701 Q: -0.0323191
T: -0.280283 Q: -0.0320806
T: -0.16666 Q: -0.0284023
T: -0.0512833 Q: -0.0289088
T: 0.0623403 Q: -0.0320557
T: 0.170759 Q: -0.0229199
T: 0.270677 Q: 0.931375
T: 0.359061 Q: -0.0136013
T: 0.433223 Q: 1.8282
T: 0.490912 Q: -0.00716987
T: 0.530373 Q: 1.24759
T: 0.550408 Q: 1.10787
T: 0.550408 Q: 1.04085
T: 0.530373 Q: -0.00437895
T: 0.490912 Q: -0.00166944
T: 0.433223 Q: -0.000964801
T: 0.359061 Q: -0.000927997
T: 0.270677 Q: -0.000734739
T: 0.170759 Q: 1.06602
T: 0.0623403 Q: -0.00171298
T: -0.0512833 Q: 0.920341
Sec_Event 2015992 N50: 36
T: -0.693039 Q: 2.23763
T: -0.743566 Q: -0.0388983
T: -0.791778 Q: -0.0368721
T: -0.836211 Q: -0.0308867
T: -0.875514 Q: -0.0292049
T: -0.908493 Q: -0.0264083
T: -0.934146 Q: 1.1788
T: -0.951694 Q: -0.0224591
T: -0.960604 Q: -0.0208897
T: -0.960604 Q: 1.4038
T: -0.951694 Q: 1.30277
T: -0.934146 Q: -0.0327852
T: -0.908493 Q: 0.703531
T: -0.875514 Q: -0.0091285
T: -0.836211 Q: -0.00330992
T: -0.791778 Q: 0.992291
T: -0.743566 Q: -0.000735175
T: -0.693039 Q: -0.00225449
T: -0.641732 Q: -0.00294287
T: -0.591205 Q: 1.19294
T: -0.542993 Q: 1.21933
T: -0.49856 Q: -0.000462926
T: -0.459257 Q: -0.000453206
T: -0.426278 Q: 1.28886
T: -0.400625 Q: 1.31427
T: -0.383077 Q: 2.55177
T: -0.374168 Q: 1.1743
T: -0.383077 Q: 1.926
T: -0.400625 Q: -0.00213336
T: -0.426278 Q: -0.00265801
T: -0.459257 Q: 1.68801
T: -0.49856 Q: -0.00554273
T: -0.542993 Q: -0.0112083
T: -0.591205 Q: 0.920997
T: -0.641732 Q: 0.809941
Sec_Event 2015992 N50: 38
T: 0.368004 Q: 1.17676
T: 0.272855 Q: 1.19226
T: 0.182065 Q: 1.24847
T: 0.0983919 Q: 1.08636
