Output file: output/wt_090520.root input file:/disk03/lowe10/sk7/sle/lomugd.090520.root
 Id of this manager : 10
InitReadRoot: total = 17919740
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12344.1
0/17919740
Sec_Event 485563 N50: 25
T: 0.239632 Q: -0.000725048
T: 0.134086 Q: -0.000982505
T: 0.0333755 Q: -0.000501946
T: -0.05944 Q: inf
T: -0.14154 Q: inf
T: -0.21043 Q: inf
T: -0.264017 Q: inf
T: -0.300673 Q: -0.000504618
T: -0.319284 Q: -0.00168157
T: -0.300673 Q: inf
T: -0.264017 Q: -0.00133519
T: -0.21043 Q: -0.00101047
T: -0.14154 Q: -0.000736315
T: -0.05944 Q: -0.00108259
T: 0.0333755 Q: -0.000316826
T: 0.134086 Q: -0.00101539
T: 0.239632 Q: -0.000649879
T: 0.346806 Q: -0.00404882
T: 0.452352 Q: -0.00165493
T: 0.553063 Q: -0.00226423
T: 0.645878 Q: inf
T: 0.727979 Q: -0.00744274
T: 0.796869 Q: inf
T: 0.850456 Q: -0.00904
T: 0.887112 Q: -0.0114549
T: 0.905722 Q: inf
T: 0.905722 Q: inf
T: 0.887112 Q: inf
T: 0.850456 Q: -0.00649408
T: 0.796869 Q: -0.00280252
T: 0.727979 Q: -0.00168859
T: 0.645878 Q: inf
T: 0.553063 Q: -0.0010833
T: 0.452352 Q: -0.000317274
T: 0.346806 Q: -0.00303148
Sec_Event 1397484 N50: 27
T: -0.65128 Q: inf
T: -0.714838 Q: -0.0131027
T: -0.775485 Q: -0.0228121
T: -0.831378 Q: -0.0188797
T: -0.880818 Q: inf
T: -0.922303 Q: -0.0499103
T: -0.954572 Q: inf
T: -0.976646 Q: inf
T: -0.987853 Q: -0.0482542
T: -0.987853 Q: -0.0488623
T: -0.976646 Q: inf
T: -0.954572 Q: -0.0467373
T: -0.922303 Q: -0.0558488
T: -0.880818 Q: inf
T: -0.831378 Q: inf
T: -0.775485 Q: -0.0795887
T: -0.714838 Q: -0.0831402
T: -0.65128 Q: -0.0735239
T: -0.58674 Q: -0.0650755
T: -0.523182 Q: -0.0537588
T: -0.462535 Q: -0.0585537
T: -0.406642 Q: -0.0476204
T: -0.357202 Q: -0.0394386
T: -0.315717 Q: -0.0385989
T: -0.283448 Q: -0.0384695
T: -0.261374 Q: -0.0288283
T: -0.250167 Q: -0.039055
T: -0.250167 Q: -0.02564
T: -0.261374 Q: -0.0186164
T: -0.283448 Q: -0.0165641
T: -0.315717 Q: -0.0202012
T: -0.357202 Q: inf
T: -0.406642 Q: -0.013006
T: -0.462535 Q: -0.013814
T: -0.523182 Q: -0.00985502
T: -0.58674 Q: -0.0104499
Sec_Event 1629510 N50: 35
T: -0.465755 Q: -0.0459057
T: -0.560779 Q: -0.0553194
T: -0.651449 Q: inf
T: -0.735012 Q: inf
T: -0.808927 Q: -0.0513743
T: -0.870949 Q: inf
T: -0.919194 Q: -0.0352814
T: -0.952195 Q: -0.0317129
T: -0.968951 Q: -0.0323646
T: -0.968951 Q: -0.0332228
T: -0.952195 Q: inf
T: -0.919194 Q: -0.0407005
T: -0.870949 Q: inf
T: -0.808927 Q: -0.02373
T: -0.735012 Q: -0.0178847
T: -0.651449 Q: -0.0128992
T: -0.560779 Q: -0.00943638
T: -0.465755 Q: -0.0138621
T: -0.369265 Q: -0.010456
T: -0.274242 Q: -0.011268
T: -0.183571 Q: -0.011514
T: -0.100009 Q: -0.0102762
T: -0.0260934 Q: inf
T: 0.0359289 Q: inf
T: 0.0841737 Q: -0.0134543
T: 0.117175 Q: inf
T: 0.13393 Q: inf
T: 0.13393 Q: -0.0220589
T: 0.117175 Q: -0.0283257
T: 0.0841737 Q: inf
T: 0.0359289 Q: inf
T: -0.0260934 Q: inf
T: -0.100009 Q: inf
T: -0.183571 Q: -0.0366934
T: -0.274242 Q: -0.0356559
T: -0.369265 Q: -0.0380497
Sec_Event 1629510 N50: 38
T: -0.309993 Q: -0.01349
T: -0.417872 Q: -0.0122949
T: -0.520808 Q: inf
T: -0.615675 Q: -0.0212545
T: -0.69959 Q: inf
T: -0.770003 Q: -0.0424941
T: -0.824774 Q: -0.0492264
T: -0.86224 Q: -0.0477251
T: -0.881262 Q: -0.0447708
