Output file: output/wt_090127.root input file:/disk03/lowe10/sk7/sle/lomugd.090127.root
 Id of this manager : 10
InitReadRoot: total = 19906525
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 14445.5 13539.9 11971.3
0/19906525
Sec_Event 832414 N50: 25
T: -0.189944 Q: -0.000640379
T: -0.302967 Q: -0.00138676
T: -0.410812 Q: -0.00309535
T: -0.510203 Q: -0.00148635
T: -0.598119 Q: -0.00213712
T: -0.671889 Q: -0.00257642
T: -0.729273 Q: -0.00362715
T: -0.768525 Q: -0.00381822
T: -0.788454 Q: -0.003729
T: -0.788454 Q: -0.00390858
T: -0.768525 Q: -0.00448082
T: -0.729273 Q: 0.930753
T: -0.671889 Q: -0.00779318
T: -0.598119 Q: -0.0123992
T: -0.510203 Q: 0.997095
T: -0.410812 Q: -0.0179413
T: -0.302967 Q: 1.06582
T: -0.189944 Q: -0.0172027
T: -0.0751771 Q: -0.0157972
T: 0.0378458 Q: -0.014341
T: 0.145691 Q: -0.0151338
T: 0.245082 Q: -0.0225227
T: 0.332998 Q: 1.12957
T: 0.406769 Q: -0.0137357
T: 0.464152 Q: -0.0121188
T: 0.503404 Q: -0.00923458
T: 0.523333 Q: 1.05146
T: 0.523333 Q: -0.00478836
T: 0.503404 Q: -0.00540468
T: 0.464152 Q: -0.00383628
T: 0.406769 Q: -0.00218344
T: 0.332998 Q: -0.00167174
T: 0.245082 Q: 1.06105
T: 0.145691 Q: 1.07951
T: 0.0378458 Q: -0.00120227
T: -0.0751771 Q: -0.00120237
Sec_Event 1164659 N50: 48
T: 0.396148 Q: -0.00944873
T: 0.30392 Q: 1.05951
T: 0.215917 Q: -0.00443354
T: 0.134812 Q: 2.32551
T: 0.0630717 Q: -0.00766819
T: 0.00287401 Q: -0.00793421
T: -0.0439515 Q: 2.38104
T: -0.075982 Q: -0.00607201
T: -0.0922443 Q: -0.00905826
T: -0.0922443 Q: 5.13318
T: -0.075982 Q: 2.44862
T: -0.0439515 Q: -0.00764861
T: 0.00287401 Q: -0.0141336
T: 0.0630717 Q: -0.0102754
T: 0.134812 Q: 1.02073
T: 0.215917 Q: 2.42459
T: 0.30392 Q: -0.0177579
T: 0.396148 Q: -0.0169959
T: 0.489799 Q: 1.11999
T: 0.582027 Q: -0.0169597
T: 0.67003 Q: -0.0164713
T: 0.751134 Q: 2.57015
T: 0.822875 Q: -0.00973709
T: 0.883073 Q: -0.00773379
T: 0.929898 Q: -0.00743129
T: 0.961929 Q: -0.0100842
T: 0.978191 Q: -0.00766538
T: 0.978191 Q: -0.0059658
T: 0.961929 Q: -0.0067789
T: 0.929898 Q: -0.00674005
T: 0.883073 Q: 2.18573
T: 0.822875 Q: 3.84564
T: 0.751134 Q: 1.43191
T: 0.67003 Q: -0.0105601
T: 0.582027 Q: -0.00700088
T: 0.489799 Q: 1.23917
Sec_Event 1164659 N50: 54
T: 0.0123971 Q: 1.10314
T: -0.101951 Q: 1.3981
T: -0.21106 Q: 2.98324
T: -0.311616 Q: 1.20896
T: -0.400563 Q: -0.00701199
T: -0.475198 Q: 2.23854
T: -0.533254 Q: 1.2661
T: -0.572966 Q: -0.0135033
T: -0.593129 Q: 1.30212
T: -0.593129 Q: 1.1136
T: -0.572966 Q: -0.00926971
T: -0.533254 Q: -0.012379
T: -0.475198 Q: 1.15816
T: -0.400563 Q: -0.010768
T: -0.311616 Q: -0.00771986
T: -0.21106 Q: 5.23664
T: -0.101951 Q: -0.00719995
T: 0.0123971 Q: 1.21343
T: 0.128509 Q: -0.00856316
T: 0.242857 Q: 1.10585
T: 0.351966 Q: 2.60055
T: 0.452522 Q: -0.00960582
T: 0.541469 Q: 1.08474
T: 0.616104 Q: -0.0146664
T: 0.67416 Q: 1.37623
T: 0.713872 Q: 2.00223
T: 0.734035 Q: -0.0112271
T: 0.734035 Q: 1.10652
T: 0.713872 Q: 0.950449
T: 0.67416 Q: 1.94833
T: 0.616104 Q: 1.04145
T: 0.541469 Q: -0.00909634
T: 0.452522 Q: -0.0116886
T: 0.351966 Q: -0.00696702
T: 0.242857 Q: 1.19487
T: 0.128509 Q: -0.0116814
Sec_Event 1164659 N50: 35
T: -0.415491 Q: 1.0996
T: -0.515575 Q: -0.0649814
