Output file: output/wt_090526.root input file:/disk03/lowe10/sk7/sle/lomugd.090526.root
 Id of this manager : 10
InitReadRoot: total = 22436321
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12037.3
0/22436321
Sec_Event 343632 N50: 36
T: 0.12578 Q: -0.00412846
T: 0.0144254 Q: -0.00333603
T: -0.0918281 Q: -0.00449417
T: -0.189752 Q: inf
T: -0.276371 Q: inf
T: -0.349052 Q: inf
T: -0.405589 Q: -0.00614613
T: -0.444262 Q: -0.00648765
T: -0.463897 Q: -0.00909166
T: -0.463897 Q: -0.0106537
T: -0.444262 Q: -0.0126419
T: -0.405589 Q: inf
T: -0.349052 Q: -0.0192109
T: -0.276371 Q: inf
T: -0.189752 Q: -0.0162521
T: -0.0918281 Q: inf
T: 0.0144254 Q: inf
T: 0.12578 Q: -0.0183677
T: 0.238853 Q: inf
T: 0.350208 Q: -0.0260559
T: 0.456461 Q: inf
T: 0.554385 Q: -0.0387292
T: 0.641004 Q: -0.0518408
T: 0.713685 Q: -0.0526304
T: 0.770222 Q: -0.0545177
T: 0.808895 Q: -0.0442928
T: 0.82853 Q: -0.0529805
T: 0.82853 Q: -0.0367539
T: 0.808895 Q: inf
T: 0.770222 Q: -0.019257
T: 0.713685 Q: -0.0083649
T: 0.641004 Q: -0.00764145
T: 0.554385 Q: -0.00445655
T: 0.456461 Q: -0.00424023
T: 0.350208 Q: -0.00359868
T: 0.238853 Q: -0.00339408
Sec_Event 2559527 N50: 29
T: 0.436335 Q: -0.0189501
T: 0.34875 Q: -0.0182262
T: 0.265177 Q: -0.0266577
T: 0.188156 Q: -0.0174267
T: 0.120027 Q: -0.018316
T: 0.0628598 Q: -0.0148036
T: 0.0183917 Q: inf
T: -0.0120263 Q: -0.0190448
T: -0.0274699 Q: -0.0247707
T: -0.0274699 Q: inf
T: -0.0120263 Q: inf
T: 0.0183917 Q: inf
T: 0.0628598 Q: -0.0269905
T: 0.120027 Q: inf
T: 0.188156 Q: -0.0251586
T: 0.265177 Q: -0.0230987
T: 0.34875 Q: -0.0244116
T: 0.436335 Q: -0.0231845
T: 0.525271 Q: inf
T: 0.612856 Q: -0.0371512
T: 0.696429 Q: -0.038393
T: 0.77345 Q: -0.0419696
T: 0.841579 Q: -0.0433392
T: 0.898746 Q: -0.0296178
T: 0.943214 Q: -0.0232571
T: 0.973632 Q: -0.0216488
T: 0.989076 Q: -0.0190867
T: 0.989076 Q: inf
T: 0.973632 Q: -0.0236612
T: 0.943214 Q: inf
T: 0.898746 Q: -0.0287229
T: 0.841579 Q: -0.0303269
T: 0.77345 Q: inf
T: 0.696429 Q: -0.0486379
T: 0.612856 Q: -0.0422814
T: 0.525271 Q: -0.0229786
Sec_Event 3238341 N50: 26
Sec_Event 3299938 N50: 34
T: -0.387754 Q: -0.0071354
T: -0.49023 Q: -0.00942194
T: -0.588011 Q: inf
T: -0.678126 Q: -0.0114808
T: -0.757838 Q: -0.0187289
T: -0.824724 Q: inf
T: -0.876752 Q: inf
T: -0.912342 Q: -0.0603821
T: -0.930411 Q: -0.0449202
T: -0.930411 Q: -0.0518268
T: -0.912342 Q: inf
T: -0.876752 Q: -0.053282
T: -0.824724 Q: inf
T: -0.757838 Q: inf
T: -0.678126 Q: inf
T: -0.588011 Q: -0.0801002
T: -0.49023 Q: -0.0558236
T: -0.387754 Q: -0.0517041
T: -0.283698 Q: inf
T: -0.181222 Q: -0.0430323
T: -0.0834411 Q: -0.040813
T: 0.0066744 Q: -0.0345501
T: 0.0863862 Q: -0.041131
T: 0.153272 Q: inf
T: 0.205301 Q: -0.0310469
T: 0.24089 Q: inf
T: 0.258959 Q: -0.0228709
T: 0.258959 Q: inf
T: 0.24089 Q: inf
T: 0.205301 Q: -0.0123667
T: 0.153272 Q: -0.0117249
T: 0.0863862 Q: -0.00834505
T: 0.0066744 Q: -0.0101863
T: -0.0834411 Q: inf
T: -0.181222 Q: -0.00658713
T: -0.283698 Q: -0.00626911
Sec_Event 3428430 N50: 53
T: -0.388004 Q: inf
T: -0.490459 Q: -0.0487022
T: -0.588221 Q: inf
T: -0.678319 Q: inf
T: -0.758015 Q: -0.0417609
T: -0.824887 Q: -0.032662
T: -0.876905 Q: -0.0269735
