Output file: output/wt_090529.root input file:/disk03/lowe10/sk7/sle/lomugd.090529.root
 Id of this manager : 10
InitReadRoot: total = 22349617
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12077
0/22349617
Sec_Event 283977 N50: 41
T: -0.688457 Q: -0.00920215
T: -0.740664 Q: inf
T: -0.79048 Q: inf
T: -0.83639 Q: -0.024047
T: -0.877 Q: -0.0273631
T: -0.911075 Q: -0.0309142
T: -0.937582 Q: -0.0306662
T: -0.955713 Q: -0.0256824
T: -0.964918 Q: -0.025603
T: -0.964918 Q: -0.0251093
T: -0.955713 Q: inf
T: -0.937582 Q: inf
T: -0.911075 Q: inf
T: -0.877 Q: inf
T: -0.83639 Q: inf
T: -0.79048 Q: -0.0528002
T: -0.740664 Q: inf
T: -0.688457 Q: inf
T: -0.635445 Q: -0.040684
T: -0.583238 Q: inf
T: -0.533423 Q: -0.0348714
T: -0.487513 Q: inf
T: -0.446903 Q: -0.0283809
T: -0.412827 Q: -0.0232472
T: -0.386321 Q: -0.0185194
T: -0.36819 Q: -0.016315
T: -0.358984 Q: -0.0192064
T: -0.358984 Q: -0.0138241
T: -0.36819 Q: -0.0130763
T: -0.386321 Q: inf
T: -0.412827 Q: -0.0108363
T: -0.446903 Q: -0.00899446
T: -0.487513 Q: -0.00870576
T: -0.533423 Q: inf
T: -0.583238 Q: -0.00967328
T: -0.635445 Q: -0.00998662
Sec_Event 1159426 N50: 44
T: 0.191602 Q: -0.0429411
T: 0.0832459 Q: -0.0303357
T: -0.0201461 Q: -0.0368273
T: -0.115433 Q: -0.0393001
T: -0.199719 Q: inf
T: -0.270443 Q: inf
T: -0.325457 Q: inf
T: -0.363088 Q: -0.0216348
T: -0.382194 Q: -0.014793
T: -0.382194 Q: -0.0112509
T: -0.363088 Q: inf
T: -0.325457 Q: inf
T: -0.270443 Q: -0.00801281
T: -0.199719 Q: -0.00242899
T: -0.115433 Q: inf
T: -0.0201461 Q: -0.00247703
T: 0.0832459 Q: -0.000911147
T: 0.191602 Q: -0.000910074
T: 0.301629 Q: inf
T: 0.409985 Q: -0.0013913
T: 0.513377 Q: inf
T: 0.608663 Q: -0.00782928
T: 0.692949 Q: -0.000910185
T: 0.763674 Q: inf
T: 0.818687 Q: -0.00104768
T: 0.856319 Q: inf
T: 0.875425 Q: inf
T: 0.875425 Q: -0.0011606
T: 0.856319 Q: inf
T: 0.818687 Q: -0.00131982
T: 0.763674 Q: -0.0013213
T: 0.692949 Q: -0.00513452
T: 0.608663 Q: inf
T: 0.513377 Q: -0.0041155
T: 0.409985 Q: -0.00894055
T: 0.301629 Q: -0.0205719
Sec_Event 1805649 N50: 30
T: 0.213233 Q: -0.0185172
T: 0.106076 Q: inf
T: 0.00382711 Q: inf
T: -0.0904055 Q: inf
T: -0.173759 Q: -0.0147606
T: -0.243701 Q: -0.0246898
T: -0.298106 Q: -0.0237
T: -0.335322 Q: -0.0329814
T: -0.354217 Q: inf
T: -0.354217 Q: inf
T: -0.335322 Q: inf
T: -0.298106 Q: -0.0522391
T: -0.243701 Q: -0.0329573
T: -0.173759 Q: -0.037794
T: -0.0904055 Q: -0.0371431
T: 0.00382711 Q: -0.0294299
T: 0.106076 Q: inf
T: 0.213233 Q: -0.0290219
T: 0.322043 Q: inf
T: 0.429201 Q: inf
T: 0.531449 Q: -0.00268015
T: 0.625682 Q: inf
T: 0.709036 Q: inf
T: 0.778978 Q: -0.000299942
T: 0.833383 Q: -0.00176714
T: 0.870598 Q: -0.000580099
T: 0.889493 Q: -0.000284658
T: 0.889493 Q: -0.000502263
T: 0.870598 Q: -0.000538673
T: 0.833383 Q: -0.000565453
T: 0.778978 Q: -0.00097757
T: 0.709036 Q: inf
T: 0.625682 Q: inf
T: 0.531449 Q: -0.00207012
T: 0.429201 Q: -0.00400445
T: 0.322043 Q: inf
Sec_Event 1805649 N50: 49
T: -0.0887203 Q: -0.0114127
T: -0.203489 Q: -0.0100607
T: -0.313 Q: inf
T: -0.413926 Q: inf
T: -0.5032 Q: -0.010341
T: -0.57811 Q: -0.0228718
T: -0.63638 Q: inf
T: -0.676238 Q: -0.0329556
T: -0.696475 Q: inf
T: -0.696475 Q: inf
T: -0.676238 Q: -0.0574408
