Output file: output/wt_090395.root input file:/disk03/lowe10/sk7/sle/lomugd.090395.root
 Id of this manager : 10
InitReadRoot: total = 16243639
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 18153.8 14396.9 12361.4
0/16243639
Sec_Event 334917 N50: 31
T: -0.368996 Q: -0.00337651
T: -0.472943 Q: -0.0013823
T: -0.572129 Q: 1.09055
T: -0.663538 Q: -0.00218863
T: -0.744395 Q: 1.15052
T: -0.812242 Q: -0.00471026
T: -0.865017 Q: -0.0106101
T: -0.901118 Q: -0.0251302
T: -0.919446 Q: -0.0252945
T: -0.919446 Q: -0.0254435
T: -0.901118 Q: 1.37891
T: -0.865017 Q: -0.0310325
T: -0.812242 Q: -0.0402234
T: -0.744395 Q: -0.0521362
T: -0.663538 Q: -0.0544019
T: -0.572129 Q: -0.0518447
T: -0.472943 Q: -0.0433719
T: -0.368996 Q: -0.0313272
T: -0.263445 Q: -0.0262907
T: -0.159498 Q: -0.0263759
T: -0.0603124 Q: -0.0262335
T: 0.0310973 Q: 1.18
T: 0.111954 Q: -0.0224547
T: 0.179801 Q: -0.013104
T: 0.232576 Q: -0.0163618
T: 0.268677 Q: -0.0075599
T: 0.287005 Q: -0.00758371
T: 0.287005 Q: 1.08994
T: 0.268677 Q: -0.0030684
T: 0.232576 Q: 1.26775
T: 0.179801 Q: 1.30398
T: 0.111954 Q: -0.00139936
T: 0.0310973 Q: -0.00101604
T: -0.0603124 Q: -0.00192785
T: -0.159498 Q: -0.00142552
T: -0.263445 Q: 1.21617
Sec_Event 817653 N50: 28
T: -0.0331744 Q: 1.13681
T: -0.147974 Q: -0.00842865
T: -0.257514 Q: 1.11585
T: -0.358467 Q: 2.3531
T: -0.447766 Q: -0.0222728
T: -0.522696 Q: -0.0161078
T: -0.580981 Q: -0.0243181
T: -0.620851 Q: -0.0243201
T: -0.641093 Q: -0.030911
T: -0.641093 Q: -0.0320721
T: -0.620851 Q: 1.0606
T: -0.580981 Q: 1.23335
T: -0.522696 Q: -0.0336954
T: -0.447766 Q: -0.0237452
T: -0.358467 Q: -0.0268144
T: -0.257514 Q: -0.0242483
T: -0.147974 Q: -0.0221232
T: -0.0331744 Q: -0.0197274
T: 0.0833962 Q: -0.0215279
T: 0.198196 Q: -0.0165997
T: 0.307736 Q: -0.0201066
T: 0.408689 Q: 0.886728
T: 0.497988 Q: -0.0120627
T: 0.572918 Q: 1.04293
T: 0.631203 Q: -0.00726186
T: 0.671072 Q: 1.01199
T: 0.691315 Q: -0.00405925
T: 0.691315 Q: 1.94447
T: 0.671072 Q: -0.00495954
T: 0.631203 Q: 0.907212
T: 0.572918 Q: -0.00836372
T: 0.497988 Q: 0.697617
T: 0.408689 Q: -0.00780962
T: 0.307736 Q: -0.00741396
T: 0.198196 Q: -0.0073907
T: 0.0833962 Q: 1.11536
Sec_Event 1268744 N50: 37
T: -0.568373 Q: -0.0324292
T: -0.649316 Q: -0.0414787
T: -0.726552 Q: -0.0521473
T: -0.797733 Q: 1.18643
T: -0.860696 Q: -0.0947647
T: -0.913528 Q: -0.0835991
T: -0.954624 Q: -0.0653867
T: -0.982736 Q: -0.0604589
T: -0.997008 Q: -0.0655558
T: -0.997008 Q: -0.0581501
T: -0.982736 Q: -0.0691156
T: -0.954624 Q: -0.0859177
T: -0.913528 Q: -0.0547405
T: -0.860696 Q: -0.030069
T: -0.797733 Q: 1.01068
T: -0.726552 Q: 1.02548
T: -0.649316 Q: -0.0105172
T: -0.568373 Q: -0.00900189
T: -0.48618 Q: 1.17083
T: -0.405237 Q: -0.00592425
T: -0.328001 Q: -0.00512066
T: -0.25682 Q: 1.22237
T: -0.193857 Q: 1.10704
T: -0.141025 Q: 1.13536
T: -0.0999287 Q: -0.0126837
T: -0.0718173 Q: 1.34716
T: -0.0575447 Q: -0.0101325
T: -0.0575447 Q: -0.00761744
T: -0.0718173 Q: -0.00784163
T: -0.0999287 Q: -0.0138233
T: -0.141025 Q: -0.012957
T: -0.193857 Q: -0.0229004
T: -0.25682 Q: -0.00997373
T: -0.328001 Q: -0.0250192
T: -0.405237 Q: -0.0196317
T: -0.48618 Q: 2.28447
Sec_Event 1268744 N50: 35
T: 0.425512 Q: -0.00137584
