Output file: output/wt_090183.root input file:/disk03/lowe10/sk7/sle/lomugd.090183.root
 Id of this manager : 10
InitReadRoot: total = 21131411
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12788.5 14883.2 12524.7
0/21131411
Sec_Event 821897 N50: 29
T: 0.152873 Q: 1.49085
T: 0.0426367 Q: -0.0384365
T: -0.0625494 Q: -0.0404926
T: -0.15949 Q: 1.30135
T: -0.245238 Q: 1.49775
T: -0.31719 Q: -0.0490998
T: -0.373158 Q: -0.0428913
T: -0.411443 Q: -0.0384183
T: -0.43088 Q: -0.0353157
T: -0.43088 Q: -0.0395149
T: -0.411443 Q: -0.0348243
T: -0.373158 Q: -0.0308857
T: -0.31719 Q: -0.0232393
T: -0.245238 Q: 2.53016
T: -0.15949 Q: -0.0193059
T: -0.0625494 Q: -0.0181998
T: 0.0426367 Q: 1.25981
T: 0.152873 Q: -0.0168577
T: 0.26481 Q: -0.0209953
T: 0.375046 Q: -0.0136537
T: 0.480232 Q: -0.0253519
T: 0.577172 Q: 1.24815
T: 0.662921 Q: -0.0233741
T: 0.734872 Q: 2.61074
T: 0.790841 Q: 1.10866
T: 0.829125 Q: 1.13995
T: 0.848563 Q: 1.44203
T: 0.848563 Q: -0.0191857
T: 0.829125 Q: -0.0210288
T: 0.790841 Q: -0.0230918
T: 0.734872 Q: -0.0333961
T: 0.662921 Q: -0.0392722
T: 0.577172 Q: 1.27403
T: 0.480232 Q: -0.0459985
T: 0.375046 Q: -0.0505833
T: 0.26481 Q: -0.0498889
Sec_Event 866649 N50: 51
T: -0.563785 Q: -0.0407662
T: -0.645496 Q: 1.13826
T: -0.723464 Q: 1.25803
T: -0.795319 Q: -0.0311713
T: -0.858879 Q: 1.27103
T: -0.912212 Q: 2.72863
T: -0.953698 Q: 1.27516
T: -0.982076 Q: 1.25409
T: -0.996484 Q: -0.0188084
T: -0.996484 Q: 1.25167
T: -0.982076 Q: -0.0188626
T: -0.953698 Q: 1.37567
T: -0.912212 Q: -0.0253651
T: -0.858879 Q: 2.3075
T: -0.795319 Q: 1.14863
T: -0.723464 Q: -0.045513
T: -0.645496 Q: -0.0408203
T: -0.563785 Q: -0.0487781
T: -0.480813 Q: 3.75493
T: -0.399102 Q: 1.36605
T: -0.321134 Q: 1.22939
T: -0.249279 Q: -0.0364735
T: -0.185719 Q: -0.0421388
T: -0.132386 Q: -0.040795
T: -0.0908998 Q: -0.0410719
T: -0.0625218 Q: 2.59369
T: -0.0481139 Q: -0.0467725
T: -0.0481139 Q: 1.28259
T: -0.0625218 Q: -0.0472836
T: -0.0908998 Q: 1.39938
T: -0.132386 Q: 1.23763
T: -0.185719 Q: 1.26095
T: -0.249279 Q: 1.10451
T: -0.321134 Q: -0.0333683
T: -0.399102 Q: -0.0376294
T: -0.480813 Q: -0.0300123
Sec_Event 877662 N50: 28
T: 0.0758296 Q: -0.00601935
T: -0.0371753 Q: 1.45918
T: -0.145003 Q: -0.00346924
T: -0.244378 Q: -0.00360387
T: -0.33228 Q: 1.32815
T: -0.406039 Q: -0.00593987
T: -0.463413 Q: -0.00456919
T: -0.502659 Q: 1.38854
T: -0.522585 Q: -0.00528726
T: -0.522585 Q: -0.00585367
T: -0.502659 Q: -0.00693261
T: -0.463413 Q: -0.00917784
T: -0.406039 Q: -0.00494293
T: -0.33228 Q: -0.00476506
T: -0.244378 Q: -0.00654494
T: -0.145003 Q: -0.00524873
T: -0.0371753 Q: 1.18821
T: 0.0758296 Q: -0.00616971
T: 0.190578 Q: -0.0135567
T: 0.303583 Q: -0.0103187
T: 0.411411 Q: -0.00686481
T: 0.510786 Q: -0.0158673
T: 0.598688 Q: -0.0154996
T: 0.672446 Q: -0.0152483
T: 0.729821 Q: 1.21716
T: 0.769067 Q: 1.10013
T: 0.788993 Q: -0.0115251
T: 0.788993 Q: -0.010608
T: 0.769067 Q: 1.31971
T: 0.729821 Q: -0.0162623
T: 0.672446 Q: -0.0101677
T: 0.598688 Q: 1.2393
T: 0.510786 Q: -0.00730659
T: 0.411411 Q: -0.0068484
T: 0.303583 Q: 1.25054
T: 0.190578 Q: -0.00679888
Sec_Event 914995 N50: 36
T: 0.14962 Q: -0.00563307
T: 0.0392412 Q: -0.00574004
