Output file: output/wt_090016.root input file:/disk03/lowe10/sk7/sle/lomugd.090016.root
 Id of this manager : 10
InitReadRoot: total = 25749374
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12581.5 13372.8 11301.2
0/25749374
Sec_Event 127465 N50: 27
T: -0.712446 Q: -0.0077891
T: -0.754722 Q: -0.00912005
T: -0.79506 Q: -0.0146063
T: -0.832237 Q: 1.11909
T: -0.865121 Q: -0.0402329
T: -0.892714 Q: 2.44461
T: -0.914178 Q: -0.031862
T: -0.92886 Q: -0.0329464
T: -0.936314 Q: 1.2279
T: -0.936314 Q: -0.0355385
T: -0.92886 Q: -0.0370715
T: -0.914178 Q: 1.35534
T: -0.892714 Q: 1.41299
T: -0.865121 Q: -0.0534393
T: -0.832237 Q: 1.25657
T: -0.79506 Q: -0.0484201
T: -0.754722 Q: -0.0425225
T: -0.712446 Q: -0.0467724
T: -0.669519 Q: -0.0352557
T: -0.627243 Q: -0.0212524
T: -0.586905 Q: -0.0153858
T: -0.549728 Q: -0.0150251
T: -0.516844 Q: -0.00963137
T: -0.489251 Q: -0.00681423
T: -0.467787 Q: 1.12981
T: -0.453105 Q: -0.00646034
T: -0.445651 Q: -0.00218719
T: -0.445651 Q: -0.00434812
T: -0.453105 Q: -0.00781665
T: -0.467787 Q: 1.27237
T: -0.489251 Q: -0.00532664
T: -0.516844 Q: -0.00247093
T: -0.549728 Q: 1.0657
T: -0.586905 Q: -0.00410433
T: -0.627243 Q: 1.2925
T: -0.669519 Q: 2.19196
Sec_Event 1413735 N50: 31
T: -0.605151 Q: 0.843267
T: -0.679312 Q: -0.00722023
T: -0.750076 Q: -0.0110449
T: -0.815292 Q: 0.823443
T: -0.872979 Q: 0.886242
T: -0.921385 Q: 0.682412
T: -0.959037 Q: -0.0693049
T: -0.984793 Q: -0.0600534
T: -0.99787 Q: -0.0554199
T: -0.99787 Q: -0.052548
T: -0.984793 Q: -0.0540117
T: -0.959037 Q: -0.0586729
T: -0.921385 Q: -0.072528
T: -0.872979 Q: 1.62481
T: -0.815292 Q: -0.0412373
T: -0.750076 Q: -0.0288107
T: -0.679312 Q: 2.13374
T: -0.605151 Q: -0.0118451
T: -0.529845 Q: -0.00857891
T: -0.455684 Q: 1.13816
T: -0.38492 Q: -0.010611
T: -0.319704 Q: -0.00497753
T: -0.262016 Q: -0.00227192
T: -0.213611 Q: -0.0025902
T: -0.175958 Q: 0.946355
T: -0.150202 Q: -0.00271329
T: -0.137126 Q: -0.00239414
T: -0.137126 Q: 1.21116
T: -0.150202 Q: -0.00112777
T: -0.175958 Q: -0.00135426
T: -0.213611 Q: -0.0011622
T: -0.262016 Q: -0.00162764
T: -0.319704 Q: -0.0016954
T: -0.38492 Q: -0.00212993
T: -0.455684 Q: 0.861695
T: -0.529845 Q: -0.00502136
 Incomplete 
Sec_Event 3737432 N50: 30
T: 0.669591 Q: -0.0656541
T: 0.62734 Q: -0.0804477
T: 0.587024 Q: -0.0610869
T: 0.549868 Q: -0.053638
T: 0.517002 Q: -0.0534317
T: 0.489424 Q: 1.27762
T: 0.467973 Q: 1.24784
T: 0.453299 Q: -0.0383754
T: 0.445849 Q: -0.0289975
T: 0.445849 Q: -0.0330762
T: 0.453299 Q: 1.13512
T: 0.467973 Q: -0.0252022
T: 0.489424 Q: -0.0237026
T: 0.517002 Q: -0.0190818
T: 0.549868 Q: -0.0169159
T: 0.587024 Q: -0.0237722
T: 0.62734 Q: 1.18191
T: 0.669591 Q: -0.0188497
T: 0.712495 Q: -0.022933
T: 0.754747 Q: -0.0234696
T: 0.795063 Q: 3.49559
T: 0.832218 Q: -0.0365712
T: 0.865084 Q: -0.0444349
T: 0.892662 Q: -0.0443736
T: 0.914114 Q: -0.0501731
T: 0.928787 Q: 0.853546
T: 0.936238 Q: -0.0664837
T: 0.936238 Q: -0.0611389
T: 0.928787 Q: 1.26664
T: 0.914114 Q: -0.0761094
T: 0.892662 Q: 1.22795
T: 0.865084 Q: -0.0763253
T: 0.832218 Q: -0.0862086
T: 0.795063 Q: 1.16802
T: 0.754747 Q: -0.0876189
T: 0.712495 Q: -0.0831534
Sec_Event 3875393 N50: 49
T: -0.307321 Q: -0.0376276
T: -0.415354 Q: 0.860041
