Output file: output/wt_090177.root input file:/disk03/lowe10/sk7/sle/lomugd.090177.root
 Id of this manager : 10
InitReadRoot: total = 21548350
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12830.7 15514.4 12523.5
0/21548350
Sec_Event 96719 N50: 38
T: 0.26024 Q: -0.00982442
T: 0.15607 Q: -0.0116288
T: 0.0566711 Q: -0.0152807
T: -0.034935 Q: 1.25354
T: -0.115965 Q: 1.10239
T: -0.183958 Q: -0.00879274
T: -0.236847 Q: 1.20383
T: -0.273025 Q: -0.00961754
T: -0.291393 Q: 1.20293
T: -0.291393 Q: -0.00812701
T: -0.273025 Q: -0.0141249
T: -0.236847 Q: -0.00995932
T: -0.183958 Q: -0.0145583
T: -0.115965 Q: 1.65932
T: -0.034935 Q: -0.017071
T: 0.0566711 Q: -0.0104683
T: 0.15607 Q: -0.00979969
T: 0.26024 Q: 3.78954
T: 0.366018 Q: 1.19897
T: 0.470188 Q: -0.016807
T: 0.569587 Q: -0.0209803
T: 0.661193 Q: -0.0271157
T: 0.742224 Q: 1.09872
T: 0.810216 Q: -0.0453209
T: 0.863105 Q: 1.53096
T: 0.899283 Q: 1.36814
T: 0.917651 Q: -0.0367265
T: 0.917651 Q: -0.0322706
T: 0.899283 Q: -0.0351817
T: 0.863105 Q: -0.0450448
T: 0.810216 Q: -0.0420121
T: 0.742224 Q: -0.037941
T: 0.661193 Q: -0.0295721
T: 0.569587 Q: -0.0177508
T: 0.470188 Q: -0.0166403
T: 0.366018 Q: -0.0147316
Sec_Event 204221 N50: 76
Sec_Event 311626 N50: 27
T: -0.070612 Q: -0.0171371
T: -0.185461 Q: -0.0145761
T: -0.29505 Q: 1.21653
T: -0.396046 Q: 0.937036
T: -0.485383 Q: -0.0208448
T: -0.560346 Q: 1.06168
T: -0.618657 Q: -0.0158905
T: -0.658543 Q: -0.0126882
T: -0.678795 Q: -0.0103692
T: -0.678795 Q: -0.00921658
T: -0.658543 Q: 1.1378
T: -0.618657 Q: -0.00423947
T: -0.560346 Q: -0.00192311
T: -0.485383 Q: -0.00265801
T: -0.396046 Q: -0.000843716
T: -0.29505 Q: -0.000918518
T: -0.185461 Q: 0.939945
T: 0.0460091 Q: -0.00407069
T: 0.160859 Q: -0.00101042
T: 0.270447 Q: -0.000510117
T: 0.371444 Q: -0.00132842
T: 0.460781 Q: -0.00218248
T: 0.535743 Q: -0.00133154
T: 0.594054 Q: -0.00293412
T: 0.633941 Q: 0.980541
T: 0.654192 Q: -0.00407898
T: 0.654192 Q: -0.00294521
T: 0.633941 Q: -0.00424628
T: 0.594054 Q: -0.00898092
T: 0.535743 Q: -0.00770748
T: 0.460781 Q: -0.00847797
T: 0.371444 Q: -0.0103494
T: 0.270447 Q: -0.0102394
T: 0.160859 Q: -0.0143606
T: 0.0460091 Q: -0.0201952
Sec_Event 688861 N50: 44
T: 0.606661 Q: -0.0360602
T: 0.547432 Q: 0.986086
T: 0.490917 Q: -0.0153177
T: 0.438832 Q: -0.0108618
T: 0.39276 Q: -0.00776804
T: 0.354101 Q: 1.95872
T: 0.32403 Q: 1.13108
T: 0.30346 Q: -0.00275349
T: 0.293017 Q: -0.0038114
T: 0.293017 Q: -0.00174505
T: 0.30346 Q: -0.00100903
T: 0.32403 Q: 1.17287
T: 0.354101 Q: -0.000678346
T: 0.39276 Q: -0.000603429
T: 0.438832 Q: -0.000767828
T: 0.490917 Q: -0.000862223
T: 0.547432 Q: -0.000591826
T: 0.606661 Q: -0.0013363
T: 0.666803 Q: 0.943518
T: 0.726032 Q: -0.00171944
T: 0.782547 Q: -0.00315115
T: 0.834632 Q: -0.00484646
T: 0.880704 Q: 0.799127
T: 0.919363 Q: 2.81586
T: 0.949434 Q: 0.891758
T: 0.970004 Q: 1.36568
T: 0.980447 Q: 1.11795
T: 0.980447 Q: 1.16095
T: 0.970004 Q: -0.0201822
T: 0.949434 Q: 1.41448
T: 0.919363 Q: 1.41629
T: 0.880704 Q: -0.0200453
T: 0.834632 Q: -0.024473
T: 0.782547 Q: 1.47878
T: 0.726032 Q: -0.0294831
T: 0.666803 Q: -0.034899
Sec_Event 688861 N50: 35
T: 0.583401 Q: -0.0023676
T: 0.519152 Q: -0.000965911
