Output file: output/wt_090402.root input file:/disk03/lowe10/sk7/sle/lomugd.090402.root
 Id of this manager : 10
InitReadRoot: total = 1967445
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 15666.2 14745.4 12447.8
0/1967445
Sec_Event 65374 N50: 41
T: -0.289623 Q: -0.0483608
T: -0.398631 Q: -0.0411106
T: -0.502646 Q: -0.0538843
T: -0.598505 Q: 0.930471
T: -0.683299 Q: 2.03519
T: -0.754448 Q: -0.0171726
T: -0.809793 Q: -0.0160493
T: -0.847651 Q: -0.0132244
T: -0.866872 Q: -0.0112378
T: -0.866872 Q: -0.0117696
T: -0.847651 Q: -0.0122003
T: -0.809793 Q: -0.0149927
T: -0.754448 Q: -0.0173349
T: -0.683299 Q: 2.02844
T: -0.598505 Q: 0.890336
T: -0.502646 Q: 2.90323
T: -0.398631 Q: -0.0160542
T: -0.289623 Q: -0.01394
T: -0.178934 Q: -0.0213706
T: -0.069926 Q: -0.0179328
T: 0.0340882 Q: 2.80324
T: 0.129948 Q: -0.019031
T: 0.214741 Q: -0.0243511
T: 0.285891 Q: -0.0277975
T: 0.341236 Q: -0.0436128
T: 0.379094 Q: -0.0410694
T: 0.398315 Q: -0.0457866
T: 0.398315 Q: 1.18294
T: 0.379094 Q: -0.0546723
T: 0.341236 Q: 2.10431
T: 0.285891 Q: -0.0454285
T: 0.214741 Q: 1.02282
T: 0.129948 Q: -0.0423766
T: 0.0340882 Q: 1.12576
T: -0.069926 Q: -0.0388772
T: -0.178934 Q: 1.13187
Sec_Event 93309 N50: 58
Sec_Event 93309 N50: 25
T: -0.726265 Q: -0.0425328
T: -0.76082 Q: 1.17793
T: -0.793791 Q: -0.0429238
T: -0.824178 Q: 1.42541
T: -0.851057 Q: 1.24361
T: -0.873611 Q: -0.0757378
T: -0.891155 Q: 1.38012
T: -0.903156 Q: 1.20753
T: -0.909249 Q: 1.1828
T: -0.909249 Q: -0.0584924
T: -0.903156 Q: 1.50191
T: -0.891155 Q: 1.45714
T: -0.873611 Q: -0.0613866
T: -0.851057 Q: -0.0592394
T: -0.824178 Q: -0.0673505
T: -0.793791 Q: -0.0550402
T: -0.76082 Q: -0.0562084
T: -0.726265 Q: -0.0545175
T: -0.691177 Q: -0.0518114
T: -0.656622 Q: -0.0421447
T: -0.62365 Q: -0.0422572
T: -0.593264 Q: 2.56639
T: -0.566385 Q: -0.0311854
T: -0.543831 Q: -0.0288314
T: -0.526287 Q: -0.0330225
T: -0.514286 Q: -0.0294973
T: -0.508193 Q: 1.70055
T: -0.508193 Q: -0.0295736
T: -0.514286 Q: -0.0255845
T: -0.526287 Q: -0.0281319
T: -0.543831 Q: 1.22997
T: -0.566385 Q: -0.0293215
T: -0.593264 Q: -0.0332577
T: -0.62365 Q: -0.0330662
T: -0.656622 Q: -0.027812
T: -0.691177 Q: 1.24486
Sec_Event 93309 N50: 33
T: -0.596662 Q: 1.17661
T: -0.672497 Q: -0.0329813
T: -0.744859 Q: -0.0561324
T: -0.811548 Q: -0.0688912
T: -0.870537 Q: -0.0661637
T: -0.920036 Q: -0.0547622
T: -0.958538 Q: -0.047264
T: -0.984876 Q: 1.43455
T: -0.998248 Q: -0.046652
T: -0.998248 Q: -0.0442755
T: -0.984876 Q: -0.0537784
T: -0.958538 Q: -0.0526972
T: -0.920036 Q: 1.20745
T: -0.870537 Q: -0.0617455
T: -0.811548 Q: -0.0523406
T: -0.744859 Q: 1.04274
T: -0.672497 Q: -0.0278326
T: -0.596662 Q: -0.0214041
T: -0.519656 Q: -0.0192539
T: -0.44382 Q: -0.0154755
T: -0.371459 Q: 1.39651
T: -0.30477 Q: -0.0184216
T: -0.24578 Q: -0.0164493
T: -0.196282 Q: -0.014666
T: -0.157779 Q: -0.0152726
T: -0.131442 Q: -0.0118876
T: -0.11807 Q: -0.0359837
T: -0.11807 Q: -0.0115581
T: -0.131442 Q: -0.0139629
T: -0.157779 Q: 1.2095
T: -0.196282 Q: -0.019381
T: -0.24578 Q: -0.0166276
T: -0.30477 Q: 1.2724
T: -0.371459 Q: -0.0239212
T: -0.44382 Q: -0.0162898
T: -0.519656 Q: -0.0231385
Sec_Event 93309 N50: 25
T: 0.653587 Q: -0.0145204
