Output file: output/wt_090174.root input file:/disk03/lowe10/sk7/sle/lomugd.090174.root
 Id of this manager : 10
InitReadRoot: total = 21713246
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 11815.5 15060.2 12411.8
0/21713246
Sec_Event 1892570 N50: 27
Sec_Event 1892570 N50: 26
Sec_Event 2496957 N50: 38
T: 0.54003 Q: -0.0134433
T: 0.467603 Q: -0.0143426
T: 0.398495 Q: -0.0121646
T: 0.334805 Q: -0.00848771
T: 0.278467 Q: -0.0082474
T: 0.231194 Q: 1.05692
T: 0.194422 Q: -0.00351329
T: 0.169269 Q: -0.00339251
T: 0.156498 Q: -0.00369046
T: 0.156498 Q: -0.00472887
T: 0.169269 Q: -0.00215628
T: 0.194422 Q: -0.00315359
T: 0.231194 Q: 1.423
T: 0.278467 Q: 1.62598
T: 0.334805 Q: -0.0015121
T: 0.398495 Q: -0.00201045
T: 0.467603 Q: 1.18925
T: 0.54003 Q: -0.00151592
T: 0.613573 Q: 1.24589
T: 0.685999 Q: -0.00568952
T: 0.755108 Q: -0.00621162
T: 0.818798 Q: 1.2936
T: 0.875136 Q: -0.00574875
T: 0.922409 Q: -0.00674394
T: 0.95918 Q: 1.33762
T: 0.984334 Q: -0.00438358
T: 0.997105 Q: -0.00413009
T: 0.997105 Q: 1.08375
T: 0.984334 Q: -0.00532022
T: 0.95918 Q: 1.10768
T: 0.922409 Q: -0.00528966
T: 0.875136 Q: -0.00896666
T: 0.818798 Q: -0.00816986
T: 0.755108 Q: 1.06497
T: 0.685999 Q: -0.0131694
T: 0.613573 Q: 1.05488
Sec_Event 2496957 N50: 31
T: 0.503039 Q: -0.0182564
T: 0.424596 Q: -0.0225948
T: 0.349747 Q: -0.0193215
T: 0.280765 Q: -0.0176382
T: 0.219747 Q: -0.011476
T: 0.168547 Q: 0.898336
T: 0.12872 Q: -0.0062344
T: 0.101477 Q: -0.0152941
T: 0.0876455 Q: -0.00592809
T: 0.0876455 Q: -0.00753451
T: 0.101477 Q: -0.0026943
T: 0.12872 Q: -0.00494842
T: 0.168547 Q: -0.00329598
T: 0.219747 Q: -0.0039813
T: 0.280765 Q: 1.20443
T: 0.349747 Q: -0.00472797
T: 0.424596 Q: 1.07892
T: 0.503039 Q: -0.00522205
T: 0.582692 Q: -0.00424191
T: 0.661136 Q: -0.00712669
T: 0.735985 Q: -0.00707965
T: 0.804967 Q: -0.0120523
T: 0.865985 Q: 1.01956
T: 0.917185 Q: 2.61852
T: 0.957012 Q: 1.08778
T: 0.984255 Q: -0.00628131
T: 0.998086 Q: 1.07072
T: 0.998086 Q: -0.00697154
T: 0.984255 Q: -0.00899419
T: 0.957012 Q: -0.00981512
T: 0.917185 Q: 0.996293
T: 0.865985 Q: -0.0135669
T: 0.804967 Q: -0.0120868
T: 0.735985 Q: -0.0207961
T: 0.661136 Q: 1.28219
T: 0.582692 Q: 1.02491
Sec_Event 2496957 N50: 25
T: -0.547538 Q: -0.00414394
T: -0.631845 Q: -0.0055431
T: -0.71229 Q: -0.00652666
T: -0.786428 Q: -0.00795402
T: -0.852007 Q: 0.728766
T: -0.907035 Q: -0.018748
T: -0.949839 Q: 0.608189
T: -0.979118 Q: -0.0470856
T: -0.993984 Q: -0.0346558
T: -0.993984 Q: -0.0298884
T: -0.979118 Q: -0.0285065
T: -0.949839 Q: -0.0340267
T: -0.907035 Q: -0.0388195
T: -0.852007 Q: -0.040381
T: -0.786428 Q: -0.0668448
T: -0.71229 Q: -0.0688213
T: -0.631845 Q: 1.17207
T: -0.547538 Q: -0.064825
T: -0.46193 Q: -0.0502692
T: -0.377623 Q: 2.50201
T: -0.297178 Q: -0.048626
T: -0.223039 Q: -0.037945
T: -0.15746 Q: -0.0421759
T: -0.102432 Q: -0.0329656
T: -0.0596285 Q: -0.0391656
T: -0.030349 Q: 0.982484
T: -0.0154834 Q: 1.11677
T: -0.0154834 Q: 0.961986
T: -0.030349 Q: -0.0153728
T: -0.0596285 Q: -0.0170421
T: -0.102432 Q: -0.0102382
T: -0.15746 Q: -0.00859978
T: -0.223039 Q: -0.00588873
T: -0.297178 Q: 0.87105
T: -0.377623 Q: -0.00392285
T: -0.46193 Q: -0.00545331
Sec_Event 2496957 N50: 30
