Output file: output/wt_090563.root input file:/disk03/lowe10/sk7/sle/lomugd.090563.root
 Id of this manager : 10
InitReadRoot: total = 21952942
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 0
0/21952942
Sec_Event 605627 N50: 39
T: -0.00506747 Q: inf
T: -0.119639 Q: inf
T: -0.228962 Q: -0.00197374
T: -0.329714 Q: inf
T: -0.418835 Q: inf
T: -0.493617 Q: inf
T: -0.551786 Q: -0.0127139
T: -0.591576 Q: inf
T: -0.611778 Q: inf
T: -0.611778 Q: -0.0290104
T: -0.591576 Q: inf
T: -0.551786 Q: -0.0462327
T: -0.493617 Q: inf
T: -0.418835 Q: inf
T: -0.329714 Q: inf
T: -0.228962 Q: -0.0471341
T: -0.119639 Q: -0.0389755
T: -0.00506747 Q: -0.0423504
T: 0.111272 Q: -0.0435792
T: 0.225843 Q: -0.0425843
T: 0.335166 Q: -0.053797
T: 0.435919 Q: inf
T: 0.525039 Q: inf
T: 0.599821 Q: inf
T: 0.65799 Q: -0.0440807
T: 0.69778 Q: -0.0368468
T: 0.717982 Q: -0.0323761
T: 0.717982 Q: -0.0275839
T: 0.69778 Q: -0.0303753
T: 0.65799 Q: inf
T: 0.599821 Q: -0.00679402
T: 0.525039 Q: inf
T: 0.435919 Q: inf
T: 0.335166 Q: inf
T: 0.225843 Q: inf
T: 0.111272 Q: inf
Sec_Event 921980 N50: 36
T: 0.154368 Q: inf
T: 0.0441985 Q: inf
T: -0.0609243 Q: -0.0407912
T: -0.157806 Q: inf
T: -0.243503 Q: -0.0394201
T: -0.315411 Q: -0.0468708
T: -0.371346 Q: -0.0467493
T: -0.409607 Q: inf
T: -0.429033 Q: -0.0497449
T: -0.429033 Q: -0.0535053
T: -0.409607 Q: inf
T: -0.371346 Q: -0.0368482
T: -0.315411 Q: -0.0283986
T: -0.243503 Q: inf
T: -0.157806 Q: inf
T: -0.0609243 Q: -0.0247831
T: 0.0441985 Q: -0.0263051
T: 0.154368 Q: -0.0196125
T: 0.266238 Q: -0.017056
T: 0.376407 Q: -0.0201234
T: 0.48153 Q: -0.0228769
T: 0.578412 Q: inf
T: 0.664109 Q: inf
T: 0.736017 Q: -0.00978409
T: 0.791952 Q: -0.00636894
T: 0.830213 Q: -0.00638709
T: 0.849639 Q: inf
T: 0.849639 Q: -0.00697398
T: 0.830213 Q: -0.00395114
T: 0.791952 Q: -0.00589574
T: 0.736017 Q: -0.00696983
T: 0.664109 Q: inf
T: 0.578412 Q: -0.0153241
T: 0.48153 Q: -0.0214503
T: 0.376407 Q: -0.03633
T: 0.266238 Q: -0.0381234
Sec_Event 1095856 N50: 26
T: -0.325132 Q: -0.0287995
T: -0.432098 Q: -0.031766
T: -0.534164 Q: inf
T: -0.628228 Q: -0.0454391
T: -0.711433 Q: -0.0447503
T: -0.78125 Q: inf
T: -0.835558 Q: -0.0400568
T: -0.872707 Q: -0.0388358
T: -0.891568 Q: -0.0315928
T: -0.891568 Q: -0.0322461
T: -0.872707 Q: inf
T: -0.835558 Q: inf
T: -0.78125 Q: inf
T: -0.711433 Q: -0.0368534
T: -0.628228 Q: inf
T: -0.534164 Q: -0.018325
T: -0.432098 Q: inf
T: -0.325132 Q: inf
T: -0.216516 Q: -0.0137298
T: -0.10955 Q: -0.0142076
T: -0.00748376 Q: -0.0136914
T: 0.0865806 Q: -0.0134538
T: 0.169785 Q: -0.0118967
T: 0.239602 Q: -0.0214841
T: 0.293911 Q: -0.0200024
T: 0.331059 Q: -0.0252351
T: 0.34992 Q: -0.0183983
T: 0.34992 Q: inf
T: 0.331059 Q: -0.0330119
T: 0.293911 Q: -0.0275388
T: 0.239602 Q: -0.0384868
T: 0.169785 Q: -0.0334913
T: 0.0865806 Q: -0.0264123
T: -0.00748376 Q: -0.0308778
T: -0.10955 Q: inf
T: -0.216516 Q: -0.0263979
Sec_Event 2208160 N50: 25
T: 0.602059 Q: -0.0107033
T: 0.541796 Q: -0.0093039
T: 0.484293 Q: inf
T: 0.431299 Q: -0.00665391
T: 0.384422 Q: -0.0093406
T: 0.345088 Q: -0.00938674
T: 0.314492 Q: -0.00769169
T: 0.293563 Q: -0.00645646
T: 0.282936 Q: -0.00965306
T: 0.282936 Q: -0.0076963
