Output file: output/wt_090548.root input file:/disk03/lowe10/sk7/sle/lomugd.090548.root
 Id of this manager : 10
InitReadRoot: total = 21996293
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12772.2
0/21996293
Sec_Event 280784 N50: 33
T: -0.522631 Q: inf
T: -0.610585 Q: -0.00270231
T: -0.69451 Q: -0.002858
T: -0.771855 Q: -0.00530619
T: -0.840271 Q: -0.00841981
T: -0.897679 Q: -0.0114861
T: -0.942335 Q: -0.022106
T: -0.972881 Q: -0.0156601
T: -0.988389 Q: -0.0152668
T: -0.988389 Q: -0.01289
T: -0.972881 Q: inf
T: -0.942335 Q: -0.0217619
T: -0.897679 Q: -0.0228936
T: -0.840271 Q: -0.0243818
T: -0.771855 Q: -0.0322227
T: -0.69451 Q: -0.0353732
T: -0.610585 Q: -0.0350668
T: -0.522631 Q: -0.0250929
T: -0.43332 Q: -0.0229069
T: -0.345366 Q: -0.0244067
T: -0.261441 Q: inf
T: -0.184096 Q: -0.0132911
T: -0.11568 Q: inf
T: -0.058272 Q: -0.00791542
T: -0.0136166 Q: -0.00909721
T: 0.0169296 Q: inf
T: 0.0324382 Q: -0.00396341
T: 0.0324382 Q: -0.00486817
T: 0.0169296 Q: -0.00265326
T: -0.0136166 Q: -0.00304393
T: -0.058272 Q: -0.00225457
T: -0.11568 Q: -0.00268691
T: -0.184096 Q: -0.00192743
T: -0.261441 Q: -0.00207931
T: -0.345366 Q: inf
T: -0.43332 Q: -0.00304149
Sec_Event 280784 N50: 29
T: -0.272374 Q: -0.0395319
T: -0.382252 Q: -0.0474263
T: -0.487097 Q: -0.0440042
T: -0.583723 Q: inf
T: -0.669193 Q: -0.0431359
T: -0.740911 Q: -0.0338572
T: -0.796698 Q: -0.0271406
T: -0.834858 Q: -0.023733
T: -0.854233 Q: inf
T: -0.854233 Q: -0.0251485
T: -0.834858 Q: inf
T: -0.796698 Q: -0.0249335
T: -0.740911 Q: -0.0293206
T: -0.669193 Q: -0.0331778
T: -0.583723 Q: -0.0131592
T: -0.487097 Q: inf
T: -0.382252 Q: -0.00989598
T: -0.272374 Q: -0.010087
T: -0.1608 Q: -0.00819835
T: -0.0509215 Q: -0.00887298
T: 0.0539234 Q: -0.0097002
T: 0.150549 Q: -0.01326
T: 0.236019 Q: -0.0213331
T: 0.307737 Q: -0.0201617
T: 0.363524 Q: -0.0257744
T: 0.401685 Q: inf
T: 0.421059 Q: inf
T: 0.421059 Q: -0.0442023
T: 0.401685 Q: -0.0408371
T: 0.363524 Q: -0.0411711
T: 0.307737 Q: -0.0444521
T: 0.236019 Q: -0.0468952
T: 0.150549 Q: -0.0438033
T: 0.0539234 Q: -0.0397094
T: -0.0509215 Q: -0.038972
T: -0.1608 Q: inf
Sec_Event 280784 N50: 28
T: -0.64585 Q: -0.0064196
T: -0.710815 Q: -0.00479295
T: -0.772805 Q: inf
T: -0.829935 Q: -0.00961234
T: -0.880469 Q: -0.0154209
T: -0.922872 Q: inf
T: -0.955856 Q: -0.0192695
T: -0.978419 Q: -0.0198078
T: -0.989874 Q: inf
T: -0.989874 Q: -0.0199592
T: -0.978419 Q: -0.0184354
T: -0.955856 Q: inf
T: -0.922872 Q: -0.0223553
T: -0.880469 Q: -0.0255369
T: -0.829935 Q: -0.0336084
T: -0.772805 Q: inf
T: -0.710815 Q: -0.0427985
T: -0.64585 Q: -0.0466572
T: -0.579882 Q: inf
T: -0.514916 Q: inf
T: -0.452927 Q: -0.0310967
T: -0.395797 Q: -0.0270923
T: -0.345262 Q: inf
T: -0.302859 Q: inf
T: -0.269875 Q: -0.019002
T: -0.247313 Q: -0.0122107
T: -0.235858 Q: -0.00660808
T: -0.235858 Q: -0.0130618
T: -0.247313 Q: -0.00677455
T: -0.269875 Q: -0.00497178
T: -0.302859 Q: -0.0050408
T: -0.345262 Q: -0.00615109
T: -0.395797 Q: -0.00320576
T: -0.452927 Q: inf
T: -0.514916 Q: inf
T: -0.579882 Q: -0.00509179
Sec_Event 280784 N50: 42
T: -0.433154 Q: -0.00138189
T: -0.531572 Q: inf
T: -0.625481 Q: -0.00188163
T: -0.712029 Q: inf
T: -0.788584 Q: -0.00485449
T: -0.852822 Q: -0.00746025
