Output file: output/wt_090419.root input file:/disk03/lowe10/sk7/sle/lomugd.090419.root
 Id of this manager : 10
InitReadRoot: total = 654680
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 16657.6 14561.1 12580.3
0/654680
Sec_Event 110679 N50: 42
T: 0.166111 Q: -0.0181084
T: 0.0564798 Q: 2.83034
T: -0.048129 Q: 1.48068
T: -0.144537 Q: -0.015727
T: -0.229815 Q: 1.15964
T: -0.301372 Q: 1.11769
T: -0.357033 Q: -0.0264716
T: -0.395107 Q: 1.42829
T: -0.414438 Q: 1.25439
T: -0.414438 Q: -0.0373036
T: -0.395107 Q: 1.61496
T: -0.357033 Q: -0.0303521
T: -0.301372 Q: -0.0243501
T: -0.229815 Q: 1.26982
T: -0.144537 Q: -0.0285626
T: -0.048129 Q: -0.0289838
T: 0.0564798 Q: 1.55382
T: 0.166111 Q: -0.0277179
T: 0.277433 Q: -0.00669844
T: 0.387065 Q: 0.786496
T: 0.491673 Q: -0.00142359
T: 0.588081 Q: 1.15335
T: 0.673359 Q: 1.00999
T: 0.744916 Q: -0.000296295
T: 0.800577 Q: -0.000687207
T: 0.857983 Q: 1.27372
T: 0.857983 Q: 1.46522
T: 0.800577 Q: 2.96712
T: 0.744916 Q: -0.000599633
T: 0.673359 Q: 1.42023
T: 0.588081 Q: 1.45345
T: 0.491673 Q: 1.16121
T: 0.387065 Q: 1.85837
T: 0.277433 Q: 0.980198
Sec_Event 991089 N50: 28
T: 0.387373 Q: -0.0496575
T: 0.294206 Q: -0.051761
T: 0.205307 Q: -0.0701953
T: 0.123378 Q: 1.77772
T: 0.0509072 Q: 4.78412
T: -0.00990304 Q: -0.0571666
T: -0.057205 Q: 1.65664
T: -0.0895615 Q: -0.0549216
T: -0.105989 Q: 1.57385
T: -0.105989 Q: 1.6291
T: -0.0895615 Q: -0.0473919
T: -0.057205 Q: -0.0451548
T: -0.00990304 Q: -0.0452342
T: 0.0509072 Q: -0.0406253
T: 0.123378 Q: -0.0347965
T: 0.205307 Q: -0.0319973
T: 0.294206 Q: -0.0324679
T: 0.387373 Q: -0.0350693
T: 0.481977 Q: 2.96625
T: 0.575144 Q: 2.66196
T: 0.664042 Q: -0.0555513
T: 0.745972 Q: -0.055995
T: 0.818442 Q: -0.10933
T: 0.879253 Q: -0.0992681
T: 0.926555 Q: -0.0897414
T: 0.958911 Q: -0.0719376
T: 0.975339 Q: 1.53745
T: 0.975339 Q: -0.0674932
T: 0.958911 Q: -0.0665979
T: 0.926555 Q: -0.0801723
T: 0.879253 Q: -0.0862193
T: 0.818442 Q: 1.43946
T: 0.745972 Q: -0.114404
T: 0.664042 Q: -0.0890573
T: 0.575144 Q: 1.34688
T: 0.481977 Q: -0.0625594
Sec_Event 1600318 N50: 37
T: 0.532561 Q: 0.989
T: 0.458856 Q: 2.13569
T: 0.388528 Q: 2.29504
T: 0.323713 Q: -0.0107789
T: 0.266381 Q: -0.013988
T: 0.218274 Q: -0.0126757
T: 0.180853 Q: -0.0219552
T: 0.155255 Q: 1.0189
T: 0.142259 Q: -0.0250348
T: 0.142259 Q: -0.0311037
T: 0.155255 Q: -0.0346066
T: 0.180853 Q: 1.34968
T: 0.218274 Q: -0.0435335
T: 0.266381 Q: -0.0413392
T: 0.323713 Q: -0.0584489
T: 0.388528 Q: -0.0616586
T: 0.458856 Q: 1.22844
T: 0.532561 Q: -0.059638
T: 0.607403 Q: -0.0493424
T: 0.681108 Q: 1.1461
T: 0.751436 Q: -0.03387
T: 0.816251 Q: -0.0257381
T: 0.873583 Q: -0.0203464
T: 0.92169 Q: -0.0159725
T: 0.959111 Q: -0.0179976
T: 0.984709 Q: 1.12502
T: 0.997705 Q: 2.59315
T: 0.997705 Q: -0.0150957
T: 0.984709 Q: 4.93428
T: 0.959111 Q: -0.0234117
T: 0.92169 Q: -0.0149243
T: 0.873583 Q: 1.08937
T: 0.816251 Q: -0.00725478
T: 0.751436 Q: -0.00501554
T: 0.681108 Q: 2.06118
T: 0.607403 Q: -0.00325937
Sec_Event 1600318 N50: 31
T: -0.294155 Q: -0.0157785
T: -0.402921 Q: -0.00799252
T: -0.506705 Q: -0.00343875
T: -0.602352 Q: 1.1492
T: -0.686958 Q: -0.00150951
