Output file: output/wt_090084.root input file:/disk03/lowe10/sk7/sle/lomugd.090084.root
 Id of this manager : 10
InitReadRoot: total = 6695379
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 12221.2 13441 12073.9
0/6695379
Sec_Event 653414 N50: 34
T: -0.453434 Q: -0.00518888
T: -0.549792 Q: 1.11738
T: -0.641735 Q: 1.08284
T: -0.72647 Q: -0.00417093
T: -0.801423 Q: -0.00245234
T: -0.864316 Q: 1.15256
T: -0.913238 Q: -0.00264862
T: -0.946703 Q: 1.088
T: -0.963693 Q: -0.00184975
T: -0.963693 Q: -0.00173203
T: -0.946703 Q: -0.00234171
T: -0.913238 Q: -0.00173294
T: -0.864316 Q: -0.00318045
T: -0.801423 Q: -0.00344716
T: -0.72647 Q: -0.00583507
T: -0.641735 Q: 2.51474
T: -0.549792 Q: -0.0109168
T: -0.453434 Q: -0.0165573
T: -0.355591 Q: -0.0368528
T: -0.259233 Q: 0.796834
T: -0.16729 Q: -0.0560021
T: -0.0825546 Q: -0.0547997
T: -0.0076018 Q: -0.054004
T: 0.0552911 Q: -0.0471769
T: 0.104213 Q: 1.35616
T: 0.137678 Q: 1.20835
T: 0.154668 Q: 1.16657
T: 0.154668 Q: 1.21195
T: 0.137678 Q: 2.69214
T: 0.104213 Q: -0.0256478
T: 0.0552911 Q: -0.0169115
T: -0.0076018 Q: -0.0193727
T: -0.0825546 Q: -0.00895281
T: -0.16729 Q: -0.00933616
T: -0.259233 Q: -0.00586006
T: -0.355591 Q: 2.33112
Sec_Event 716224 N50: 27
T: 0.252388 Q: -0.0499413
T: 0.147681 Q: -0.05249
T: 0.0477712 Q: 2.36377
T: -0.0443066 Q: -0.0515643
T: -0.125754 Q: -0.0486069
T: -0.194097 Q: -0.0652856
T: -0.247258 Q: -0.0554295
T: -0.283622 Q: -0.0714128
T: -0.302085 Q: 1.26326
T: -0.302085 Q: 1.42338
T: -0.283622 Q: -0.0501388
T: -0.247258 Q: -0.0545765
T: -0.194097 Q: 1.21336
T: -0.125754 Q: -0.0342708
T: -0.0443066 Q: -0.0355322
T: 0.0477712 Q: -0.0306454
T: 0.147681 Q: -0.0214267
T: 0.252388 Q: -0.0354764
T: 0.358711 Q: -0.0322965
T: 0.463418 Q: 2.00111
T: 0.563328 Q: -0.0296163
T: 0.655406 Q: -0.0305905
T: 0.736853 Q: -0.0165962
T: 0.805196 Q: -0.0126514
T: 0.858357 Q: -0.0109836
T: 0.894721 Q: -0.0145935
T: 0.913184 Q: 0.960433
T: 0.913184 Q: -0.00934844
T: 0.894721 Q: -0.0139486
T: 0.858357 Q: -0.0105934
T: 0.805196 Q: -0.0137344
T: 0.736853 Q: 1.21734
T: 0.655406 Q: -0.0274421
T: 0.563328 Q: 1.20489
T: 0.463418 Q: -0.0460414
T: 0.358711 Q: -0.0479517
Sec_Event 1371863 N50: 42
T: 0.0196214 Q: -0.0437996
T: -0.0946155 Q: -0.0463222
T: -0.203619 Q: 1.5511
T: -0.304077 Q: 1.3082
T: -0.392938 Q: -0.0381943
T: -0.467501 Q: -0.0358063
T: -0.5255 Q: 1.23213
T: -0.565174 Q: -0.0295052
T: -0.585317 Q: -0.0238593
T: -0.585317 Q: -0.0187581
T: -0.565174 Q: -0.017726
T: -0.5255 Q: -0.0164088
T: -0.467501 Q: -0.0120176
T: -0.392938 Q: -0.0112451
T: -0.304077 Q: -0.00659271
T: -0.203619 Q: -0.00576454
T: -0.0946155 Q: 1.01863
T: 0.0196214 Q: -0.0058498
T: 0.135621 Q: -0.00679699
T: 0.249857 Q: -0.00578765
T: 0.358861 Q: 1.89362
T: 0.459319 Q: -0.00821864
T: 0.54818 Q: -0.0123115
T: 0.622743 Q: -0.0182722
T: 0.680742 Q: -0.0238667
T: 0.720416 Q: 2.10534
T: 0.740559 Q: 0.905574
T: 0.740559 Q: -0.0608656
T: 0.720416 Q: -0.0542139
T: 0.680742 Q: -0.0628741
T: 0.622743 Q: -0.0634817
T: 0.54818 Q: -0.0733877
T: 0.459319 Q: 1.38518
T: 0.358861 Q: -0.0602955
T: 0.249857 Q: -0.0457307
T: 0.135621 Q: -0.0499182
 Incomplete 
Sec_Event 2565611 N50: 38
T: -0.276469 Q: 2.14711
