Output file: output/wt_090228.root input file:/disk03/lowe10/sk7/sle/lomugd.090228.root
 Id of this manager : 10
InitReadRoot: total = 20244577
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 15327.3 14036.4 12367.4
0/20244577
Sec_Event 328867 N50: 29
T: 0.321472 Q: -0.0229514
T: 0.22203 Q: 1.02688
T: 0.127144 Q: -0.0149442
T: 0.039697 Q: -0.0104108
T: -0.0376548 Q: -0.00986847
T: -0.102561 Q: -0.00846721
T: -0.153048 Q: 0.822961
T: -0.187584 Q: -0.00436464
T: -0.205118 Q: -0.00525781
T: -0.205118 Q: -0.00226551
T: -0.187584 Q: 1.08091
T: -0.153048 Q: -0.00181099
T: -0.102561 Q: -0.0023006
T: -0.0376548 Q: 1.59328
T: 0.039697 Q: -0.000830711
T: 0.127144 Q: -0.0010975
T: 0.22203 Q: -0.000688071
T: 0.321472 Q: 1.1108
T: 0.422448 Q: 1.16372
T: 0.521889 Q: -0.000972908
T: 0.616775 Q: 1.29733
T: 0.704223 Q: -0.00204274
T: 0.781574 Q: -0.00140548
T: 0.84648 Q: 0.857783
T: 0.896968 Q: -0.00744917
T: 0.931504 Q: 0.866566
T: 0.949038 Q: -0.0532415
T: 0.949038 Q: 2.21457
T: 0.931504 Q: 0.865817
T: 0.896968 Q: -0.0401962
T: 0.84648 Q: -0.0615689
T: 0.781574 Q: -0.0589286
T: 0.704223 Q: 2.12806
T: 0.616775 Q: -0.0458069
T: 0.521889 Q: -0.0312972
T: 0.422448 Q: -0.0254463
Sec_Event 570632 N50: 25
T: -0.547999 Q: -0.0648538
T: -0.632235 Q: 1.26715
T: -0.712612 Q: -0.0763094
T: -0.786688 Q: -0.0652895
T: -0.852212 Q: -0.0484739
T: -0.907193 Q: -0.0508626
T: -0.94996 Q: -0.0364573
T: -0.979215 Q: 1.3614
T: -0.994068 Q: -0.0339562
T: -0.994068 Q: -0.0450365
T: -0.979215 Q: -0.0407373
T: -0.94996 Q: -0.0490953
T: -0.907193 Q: -0.0444228
T: -0.852212 Q: 1.02275
T: -0.786688 Q: -0.0202764
T: -0.712612 Q: -0.0196785
T: -0.632235 Q: -0.0167791
T: -0.547999 Q: -0.0121704
T: -0.462464 Q: -0.010782
T: -0.378228 Q: -0.0112045
T: -0.297851 Q: -0.0179017
T: -0.223775 Q: -0.0166094
T: -0.158251 Q: -0.0176658
T: -0.10327 Q: -0.0152215
T: -0.0605022 Q: -0.018309
T: -0.0312474 Q: -0.0271959
T: -0.0163943 Q: -0.03847
T: -0.0163943 Q: 1.31346
T: -0.0312474 Q: -0.037826
T: -0.0605022 Q: -0.0406871
T: -0.10327 Q: -0.0716207
T: -0.158251 Q: -0.0462404
T: -0.223775 Q: -0.0515063
T: -0.297851 Q: -0.0478299
T: -0.378228 Q: -0.0482627
T: -0.462464 Q: -0.0575731
Sec_Event 720394 N50: 35
T: 0.436776 Q: 1.78897
T: 0.349245 Q: 1.21
T: 0.265724 Q: -0.00209972
T: 0.188751 Q: 1.25543
T: 0.120664 Q: -0.00301896
T: 0.0635322 Q: 3.23192
T: 0.0190917 Q: 1.36013
T: -0.0113074 Q: -0.00451707
T: -0.0267415 Q: 1.27457
T: -0.0267415 Q: 1.25424
T: -0.0113074 Q: -0.0119407
T: 0.0190917 Q: 1.07994
T: 0.0635322 Q: -0.0108239
T: 0.120664 Q: -0.0140609
T: 0.188751 Q: -0.0157959
T: 0.265724 Q: -0.021574
T: 0.349245 Q: 1.04766
T: 0.436776 Q: -0.0211204
T: 0.525657 Q: -0.0271838
T: 0.613188 Q: 0.998475
T: 0.696709 Q: 2.24244
T: 0.773682 Q: -0.00857124
T: 0.841769 Q: -0.0123025
T: 0.898901 Q: 1.53361
T: 0.943341 Q: -0.00771908
T: 0.97374 Q: -0.00345477
T: 0.989174 Q: 1.29174
T: 0.989174 Q: -0.0067843
T: 0.97374 Q: -0.00460296
T: 0.943341 Q: 2.77727
T: 0.898901 Q: 1.29943
T: 0.841769 Q: 1.21035
T: 0.773682 Q: -0.00534189
T: 0.696709 Q: 3.68948
T: 0.613188 Q: 0.91353
T: 0.525657 Q: 1.1675
Sec_Event 764576 N50: 25
T: -0.408229 Q: 1.73571
T: -0.508965 Q: -0.0047391
