Output file: output/wt_090125.root input file:/disk03/lowe10/sk7/sle/lomugd.090125.root
 Id of this manager : 10
InitReadRoot: total = 19995334
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 13840.2 13038.1 12003.6
0/19995334
Sec_Event 187621 N50: 30
T: 0.239887 Q: -0.0287552
T: 0.134358 Q: -0.0300766
T: 0.0336627 Q: -0.0310853
T: -0.0591384 Q: -0.0337883
T: -0.141226 Q: -0.0253029
T: -0.210105 Q: 1.22606
T: -0.263684 Q: -0.0216781
T: -0.300334 Q: 1.1294
T: -0.318942 Q: -0.0184693
T: -0.318942 Q: 1.53043
T: -0.300334 Q: -0.0190064
T: -0.263684 Q: -0.00493374
T: -0.210105 Q: 0.994382
T: -0.141226 Q: 1.19166
T: -0.0591384 Q: -0.00248747
T: 0.0336627 Q: -0.00582846
T: 0.134358 Q: -0.0017652
T: 0.239887 Q: -0.00486392
T: 0.347045 Q: -0.00215705
T: 0.452574 Q: -0.00344839
T: 0.553269 Q: -0.00604285
T: 0.646071 Q: -0.00383165
T: 0.728158 Q: -0.00599629
T: 0.797037 Q: -0.00674116
T: 0.850616 Q: 1.10189
T: 0.887266 Q: -0.00764216
T: 0.905874 Q: -0.00484431
T: 0.905874 Q: 1.11352
T: 0.887266 Q: -0.00638665
T: 0.850616 Q: -0.00584847
T: 0.797037 Q: -0.00784926
T: 0.728158 Q: -0.0122868
T: 0.646071 Q: -0.0123133
T: 0.553269 Q: -0.0277089
T: 0.452574 Q: -0.0388926
T: 0.347045 Q: -0.032663
Sec_Event 821010 N50: 31
T: 0.486713 Q: -0.00148208
T: 0.405847 Q: -0.000893206
T: 0.328685 Q: -0.000911676
T: 0.257572 Q: -0.000589509
T: 0.194668 Q: -0.000858323
T: 0.141886 Q: -0.00125005
T: 0.100829 Q: -0.00273507
T: 0.0727444 Q: -0.00139166
T: 0.0584854 Q: -0.00179402
T: 0.0584854 Q: 1.4394
T: 0.0727444 Q: -0.00665453
T: 0.100829 Q: 3.21311
T: 0.141886 Q: -0.0112891
T: 0.194668 Q: -0.0109939
T: 0.257572 Q: 2.49754
T: 0.328685 Q: -0.0174048
T: 0.405847 Q: -0.020422
T: 0.486713 Q: -0.0195836
T: 0.568828 Q: -0.0218717
T: 0.649695 Q: -0.0143751
T: 0.726857 Q: 1.11852
T: 0.79797 Q: -0.00549049
T: 0.860873 Q: 1.08349
T: 0.913655 Q: -0.00325551
T: 0.954712 Q: -0.00320325
T: 0.982797 Q: -0.00226951
T: 0.997056 Q: -0.00245861
T: 0.997056 Q: -0.00210488
T: 0.982797 Q: -0.00272302
T: 0.954712 Q: 1.24289
T: 0.913655 Q: -0.00489632
T: 0.860873 Q: 0.929123
T: 0.79797 Q: 1.24877
T: 0.726857 Q: 0.990077
T: 0.649695 Q: -0.00312839
T: 0.568828 Q: -0.000971066
Sec_Event 903621 N50: 45
T: 0.414144 Q: 1.16954
T: 0.323923 Q: 1.21217
T: 0.237835 Q: 1.15557
T: 0.158496 Q: -0.0381754
T: 0.0883171 Q: -0.0349815
T: 0.0294295 Q: 2.56189
T: -0.0163768 Q: -0.026673
T: -0.0477102 Q: 1.2202
T: -0.0636186 Q: 1.28075
T: -0.0636186 Q: -0.0137133
T: -0.0477102 Q: -0.0190217
T: -0.0163768 Q: -0.00978886
T: 0.0294295 Q: 1.30722
T: 0.0883171 Q: -0.00560896
T: 0.158496 Q: -0.0151832
T: 0.237835 Q: -0.00635919
T: 0.323923 Q: 0.999803
T: 0.414144 Q: 1.1115
T: 0.505757 Q: 2.67026
T: 0.595978 Q: 1.31341
T: 0.682066 Q: 1.06804
T: 0.761404 Q: -0.00945764
T: 0.831584 Q: -0.0143933
T: 0.890471 Q: 1.83626
T: 0.936278 Q: 0.838287
T: 0.967611 Q: -0.0141549
T: 0.98352 Q: 1.15314
T: 0.98352 Q: -0.0141475
T: 0.967611 Q: -0.0161374
T: 0.936278 Q: -0.0168475
T: 0.890471 Q: -0.0180312
T: 0.831584 Q: 1.37656
T: 0.761404 Q: 1.13996
T: 0.682066 Q: -0.0427416
T: 0.595978 Q: -0.0536784
T: 0.505757 Q: -0.0464328
Sec_Event 1330475 N50: 28
T: -0.0826692 Q: -0.0192137
