Output file: output/wt_090079.root input file:/disk03/lowe10/sk7/sle/lomugd.090079.root
 Id of this manager : 10
InitReadRoot: total = 23084898
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 11405.4 13413.6 11831.7
0/23084898
Sec_Event 517334 N50: 38
T: -0.638019 Q: -0.0549832
T: -0.704928 Q: -0.0588748
T: -0.768773 Q: -0.0604819
T: -0.827612 Q: -0.0614134
T: -0.879659 Q: -0.0550056
T: -0.923331 Q: 1.29356
T: -0.957302 Q: -0.0493864
T: -0.980539 Q: 1.58624
T: -0.992337 Q: 4.63283
T: -0.992337 Q: -0.0413171
T: -0.980539 Q: -0.0452156
T: -0.957302 Q: -0.055925
T: -0.923331 Q: 1.53883
T: -0.879659 Q: -0.0578149
T: -0.827612 Q: -0.0608279
T: -0.768773 Q: -0.0503231
T: -0.704928 Q: -0.0474245
T: -0.638019 Q: -0.0417537
T: -0.570077 Q: -0.0368689
T: -0.503167 Q: -0.0366251
T: -0.439323 Q: -0.0384207
T: -0.380484 Q: -0.036716
T: -0.328437 Q: -0.0316182
T: -0.284765 Q: 1.61569
T: -0.250794 Q: -0.0374056
T: -0.227557 Q: 1.31744
T: -0.215759 Q: -0.0444898
T: -0.215759 Q: -0.0375649
T: -0.227557 Q: 3.00726
T: -0.250794 Q: 1.41094
T: -0.284765 Q: -0.0383583
T: -0.328437 Q: 4.22833
T: -0.380484 Q: -0.0396773
T: -0.439323 Q: -0.0425083
T: -0.503167 Q: 1.32679
T: -0.570077 Q: -0.0532335
Sec_Event 2411292 N50: 27
T: -0.490303 Q: -0.0236116
T: -0.582469 Q: -0.0284391
T: -0.670414 Q: 1.03641
T: -0.751464 Q: -0.0360875
T: -0.823157 Q: 1.19762
T: -0.883314 Q: 1.22821
T: -0.930109 Q: 1.24583
T: -0.962118 Q: 1.1633
T: -0.978369 Q: -0.0285458
T: -0.978369 Q: -0.027024
T: -0.962118 Q: -0.0258596
T: -0.930109 Q: -0.029485
T: -0.883314 Q: -0.0414173
T: -0.823157 Q: 1.23896
T: -0.751464 Q: 1.17882
T: -0.670414 Q: -0.0572444
T: -0.582469 Q: -0.0493554
T: -0.490303 Q: 1.24377
T: -0.396714 Q: -0.0528447
T: -0.304548 Q: -0.0417129
T: -0.216603 Q: -0.0428771
T: -0.135553 Q: 1.34662
T: -0.0638601 Q: -0.0494289
T: -0.0037025 Q: -0.0588986
T: 0.0430918 Q: -0.0452638
T: 0.0751009 Q: -0.0458408
T: 0.0913524 Q: -0.044609
T: 0.0913524 Q: -0.0458436
T: 0.0751009 Q: 2.57519
T: 0.0430918 Q: 1.27752
T: -0.0037025 Q: 2.50435
T: -0.0638601 Q: -0.0337773
T: -0.135553 Q: -0.0260485
T: -0.216603 Q: -0.0240299
T: -0.304548 Q: -0.0260357
T: -0.396714 Q: -0.024583
Sec_Event 2415554 N50: 45
T: 0.292492 Q: -0.00487409
T: 0.190689 Q: -0.00602523
T: 0.0935494 Q: 1.20679
T: 0.00402505 Q: 1.24758
T: -0.0751639 Q: -0.00409043
T: -0.141611 Q: 1.25882
T: -0.193298 Q: -0.00486024
T: -0.228654 Q: -0.00263377
T: -0.246605 Q: -0.00221385
T: -0.246605 Q: 1.04217
T: -0.228654 Q: -0.0039161
T: -0.193298 Q: -0.00491783
T: -0.141611 Q: 1.20698
T: -0.0751639 Q: 1.20582
T: 0.00402505 Q: -0.00235864
T: 0.0935494 Q: 1.10112
T: 0.190689 Q: -0.00637842
T: 0.292492 Q: 1.15513
T: 0.395866 Q: -0.00352187
T: 0.49767 Q: -0.00328734
T: 0.594809 Q: -0.00333683
T: 0.684334 Q: -0.00549228
T: 0.763523 Q: 1.16355
T: 0.82997 Q: 1.15422
T: 0.881657 Q: -0.0314661
T: 0.917013 Q: 3.19227
T: 0.934964 Q: 4.26068
T: 0.934964 Q: 1.67765
T: 0.917013 Q: 0.948023
T: 0.881657 Q: -0.0366731
T: 0.82997 Q: 0.911181
T: 0.763523 Q: -0.0245818
T: 0.684334 Q: -0.0193397
T: 0.594809 Q: 1.02967
T: 0.49767 Q: 1.00835
T: 0.395866 Q: 2.15602
Sec_Event 2565614 N50: 28
T: -0.729801 Q: -0.0326478
T: -0.761925 Q: -0.0363959
